,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,random3_target_paragraph,analogous_target_paragraph,shuffled_candidates,analogy_type,ground_truth
0,7What causes a boiler to explode?,"When magma heats up underground water, pressure begins to build up inside the volcano.
 This pressure forces the magma to push against the walls of the volcano, leading to an eruption. The eruption is caused by the pressure of the magma against the walls of the volcano, as well as the heat of the magma heating up the underground water.","Plants start growing on or near the rocks.
The roots of the growing plants start to break up the rock.
The plant acids dissolve the rock.
The rock is broken down into smaller pieces.
Erosion begins.","Green is a color that gathers sunlight easily.
Sunlight is gathered by the leaves of the plant.
The sunlight is broken down into glucose through photosynthesis.
The glucose travels the plant.
The plant uses that glucose as energy to grow.","Air enters the nose or mouth and travels through the windpipe into the lungs.
The lungs have a series of smaller and finer tubes and sacs.
Air reaches the smallest and finest air sacs called alveoli.
Oxygen travels from the alveoli into the blood.
Oxygen-rich blood is carried to the heart.
Oxygen-rich blood is pumped throughout the body by the heart.
Cells take in the oxygen rich blood and release carbon dioxide rich blood.
The carbon dioxide rich blood travels to the lungs.
Carbon dioxide travels through the throat and is exhaled.","Steam heats the liquid inside the boiler, causing the pressure to build up.
 As the pressure increases, the steam begins to push against the walls of the boiler.
 The increased pressure can be too much for the boiler to take and if the pressure exceeds the boiler's capacity, it can cause an explosion.","[""Steam heats the liquid inside the boiler, causing the pressure to build up.\n As the pressure increases, the steam begins to push against the walls of the boiler.\n The increased pressure can be too much for the boiler to take and if the pressure exceeds the boiler's capacity, it can cause an explosion."", ""Green is a color that gathers sunlight easily.\nSunlight is gathered by the leaves of the plant.\nThe sunlight is broken down into glucose through photosynthesis.\nThe glucose travels the plant.\nThe plant uses that glucose as energy to grow."", ""Plants start growing on or near the rocks.\nThe roots of the growing plants start to break up the rock.\nThe plant acids dissolve the rock.\nThe rock is broken down into smaller pieces.\nErosion begins."", ""Air enters the nose or mouth and travels through the windpipe into the lungs.\nThe lungs have a series of smaller and finer tubes and sacs.\nAir reaches the smallest and finest air sacs called alveoli.\nOxygen travels from the alveoli into the blood.\nOxygen-rich blood is carried to the heart.\nOxygen-rich blood is pumped throughout the body by the heart.\nCells take in the oxygen rich blood and release carbon dioxide rich blood.\nThe carbon dioxide rich blood travels to the lungs.\nCarbon dioxide travels through the throat and is exhaled.""]",far analogy,C1
1,7What causes an earthquake to occur?,"A volcano erupts when magma builds up pressure beneath the surface.
 The pressure causes the magma to force its way up through the volcano, releasing heat in the process.
 The combination of pressure and heat leads to the eruption of the volcano.","Bees first secure the perfect spot, such as hollow areas of trees.
Bees will begin to chew max until it becomes softened.
The chewed up wax will be stored inside of a honeycomb.
Worker bees continue chewing and softening wax from within.
The chewed up wax is steadily added, making the hive bigger and bigger.
The bees will house nectar, honey and pollen within the honeycomb's cells.","A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.
In the process, they will release energy and matter from their nucleus and often transform into a new element.
This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.","Sediment becomes loose from the rest of the soil.
The sediment rolls down hill towards a river.
The heavy items sink to the bottom.
The lighter items float on the top and in convection cycles.
As the river flows the sediment is moved.
The sediment gets dumped through tributaries into lakes and the ocean.
The sediment keeps moving around the world in convection currents.","An earthquake is caused by the tension that builds up between tectonic plates.
 When the tension reaches a certain level, the plates are forced past one another, releasing seismic waves and causing an earthquake.
 The seismic waves travel through the Earth and can be detected by seismographs.","[""A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.\nRadioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.\nIn the process, they will release energy and matter from their nucleus and often transform into a new element.\nThis process, called transmutation, is the change of one element into another as a result of changes within the nucleus.\nHe radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive."", ""Sediment becomes loose from the rest of the soil.\nThe sediment rolls down hill towards a river.\nThe heavy items sink to the bottom.\nThe lighter items float on the top and in convection cycles.\nAs the river flows the sediment is moved.\nThe sediment gets dumped through tributaries into lakes and the ocean.\nThe sediment keeps moving around the world in convection currents."", ""Bees first secure the perfect spot, such as hollow areas of trees.\nBees will begin to chew max until it becomes softened.\nThe chewed up wax will be stored inside of a honeycomb.\nWorker bees continue chewing and softening wax from within.\nThe chewed up wax is steadily added, making the hive bigger and bigger.\nThe bees will house nectar, honey and pollen within the honeycomb's cells."", ""An earthquake is caused by the tension that builds up between tectonic plates.\n When the tension reaches a certain level, the plates are forced past one another, releasing seismic waves and causing an earthquake.\n The seismic waves travel through the Earth and can be detected by seismographs.""]",close analogy,C4
2,7How does a political system change over time?,"Volcanic eruptions occur when tectonic plates shift and cause changes in the Earth's crust.
 These movements can create a path for magma to rise to the surface, which builds up pressure in the magma chamber.
 The pressure from the magma builds until it is released in the form of a volcanic eruption.","Prophase is the first and longest stage of mitosis. In this stage the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.
In prophase the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.
In metaphase the chromosomes line up across the center of the cell and become connected to the spindle fiber at their centromere.
In anaphase the sister chromatids separate into individual chromosomes and are pulled apart.
During telophase the chromosomes gather at opposite ends of the cell and lose their distinct rod-like shapes.
Two new nuclear membranes then form around each of the two regions of DNA and the spindle fibers disappear.","Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.","One type of air pollution is the addition of carbon dioxide gas into the air.
Some scientists believe that releasing too much carbon dioxide into the atmosphere is one of the causes of global warming.
This upsets the balance of the carbon cycle.
The ozone layer helps protect us from harmful rays from the sun.
It is getting damaged from air pollution such as methane gas from livestock and CFCs from spray cans.
Acid rain is created when gasses such as sulfur dioxide get high into the atmosphere.
The wind can blow these gasses for miles and then they get washed out of the air when it rains.
This rain is called acid rain and can damage forests and kill fish.","Ideas shift public opinion, which can lead to protest in the streets.
 When the public expresses their dissatisfaction, tension begins to build in the political climate.
 This tension can lead to the implementation of changes in the political system, as the government seeks to address the issues raised by the public.","[""Magma comes up to the surface of the earth.\nThe magma cools.\nParticles inside the magma move closer together.\nCrystals are formed.\nThe crystals contain minerals."", ""Prophase is the first and longest stage of mitosis. In this stage the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.\nIn prophase the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.\nIn metaphase the chromosomes line up across the center of the cell and become connected to the spindle fiber at their centromere.\nIn anaphase the sister chromatids separate into individual chromosomes and are pulled apart.\nDuring telophase the chromosomes gather at opposite ends of the cell and lose their distinct rod-like shapes.\nTwo new nuclear membranes then form around each of the two regions of DNA and the spindle fibers disappear."", ""One type of air pollution is the addition of carbon dioxide gas into the air.\nSome scientists believe that releasing too much carbon dioxide into the atmosphere is one of the causes of global warming.\nThis upsets the balance of the carbon cycle.\nThe ozone layer helps protect us from harmful rays from the sun.\nIt is getting damaged from air pollution such as methane gas from livestock and CFCs from spray cans.\nAcid rain is created when gasses such as sulfur dioxide get high into the atmosphere.\nThe wind can blow these gasses for miles and then they get washed out of the air when it rains.\nThis rain is called acid rain and can damage forests and kill fish."", ""Ideas shift public opinion, which can lead to protest in the streets.\n When the public expresses their dissatisfaction, tension begins to build in the political climate.\n This tension can lead to the implementation of changes in the political system, as the government seeks to address the issues raised by the public.""]",far analogy,C4
3,7What causes an autoimmune disease to flare up?,"Volcanic eruptions are caused by the buildup of pressure within the magma chamber.
 When the tectonic plates shift, it can create pressure within the magma chamber, leading to an eruption.
 Volcanic gases, such as carbon dioxide and sulfur dioxide, can also trigger an eruption by increasing the pressure within the chamber.","Build a satellite.
Attach a rocket.
Add rocket fuel.
Launch rocket.
Satellite goes into orbit.","A hurricane usually starts as an organized thunderstorm activity that stretches at least 100 miles across and maintains its identity for more than 24 hours.
Under the right conditions it can develop further and start to spin around a low-pressure center.
If it develops it's classified as a ""tropical cyclone"" or ""tropical depression"".
If the system strengthens and wind speeds rise past 39 mph, the system is dubbed a ""tropical storm"".
If the pressure in the center drops even further and the winds really pick up and forms a clearly defined ""eye"" it's a hurricane.","Plants start off as a seed.
The seed germinates.
The plant gets nutrition from the environment.
The plant grows from the nutrients.
The plant produces flowers.
The flowers produce fruit.
The fruit releases seeds.
The seeds become new plants.
The original plant dies at some point.","An autoimmune disease is caused by an overreaction of the immune system. Antigens build up in the body which leads the immune system to produce antibodies, shifting its normal response. Allergens can then trigger a flare-up of the autoimmune disease, leading to a heightened response from the body's immune system.","[""An autoimmune disease is caused by an overreaction of the immune system. Antigens build up in the body which leads the immune system to produce antibodies, shifting its normal response. Allergens can then trigger a flare-up of the autoimmune disease, leading to a heightened response from the body's immune system."", ""Build a satellite.\nAttach a rocket.\nAdd rocket fuel.\nLaunch rocket.\nSatellite goes into orbit."", ""Plants start off as a seed.\nThe seed germinates.\nThe plant gets nutrition from the environment.\nThe plant grows from the nutrients.\nThe plant produces flowers.\nThe flowers produce fruit.\nThe fruit releases seeds.\nThe seeds become new plants.\nThe original plant dies at some point."", ""A hurricane usually starts as an organized thunderstorm activity that stretches at least 100 miles across and maintains its identity for more than 24 hours.\nUnder the right conditions it can develop further and start to spin around a low-pressure center.\nIf it develops it's classified as a \""tropical cyclone\"" or \""tropical depression\"".\nIf the system strengthens and wind speeds rise past 39 mph, the system is dubbed a \""tropical storm\"".\nIf the pressure in the center drops even further and the winds really pick up and forms a clearly defined \""eye\"" it's a hurricane.""]",far analogy,C1
4,11How does a river erode its banks?,"Ocean waves wash away rocks and sand.
 Tides move the sediment, and ocean currents erode the cliffs.
 Erosion by the ocean is a continuous process, whereby the ocean's power wears away the coastlines of land. This process is accelerated by high winds and storms, which increase the intensity of the waves, tides, and currents.","Kidneys filter waste out of blood.
Composition of blood is regulated.
Volume of water in blood is kept constant.
PH is kept at a constant level.
Kidneys help regulate blood pressure.
Kidneys stimulate the making of red blood cells.
Calcium levels are maintained.","Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.","Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.","The river flow washes away soil and sediment from its banks.
 When there are floods, a large amount of sediment is moved downstream, which can erode the riverbanks.
 The force of the streams can also cause erosion, as they cut into the banks of the river.","[""Magma moves closer to the Earth's crust.\nThe magma starts to cool.\nThe cooling causes atoms in the magma to condense.\nThe condensed magma solidifies.\nThe solidified magma forms minerals."", ""The river flow washes away soil and sediment from its banks.\n When there are floods, a large amount of sediment is moved downstream, which can erode the riverbanks.\n The force of the streams can also cause erosion, as they cut into the banks of the river."", ""Oceans, lakes, and rivers contain water.\nThe sun heats up the water.\nThe water evaporates from the heat.\nThe water moves to the sky as steam or as invisible vapor.\nThe water forms clouds in the sky.\nThe clouds become larger as they are filled with more water.\nThe air is cooled.\nWater forms droplets in the clouds.\nThe droplets fall to earth as rain."", ""Kidneys filter waste out of blood.\nComposition of blood is regulated.\nVolume of water in blood is kept constant.\nPH is kept at a constant level.\nKidneys help regulate blood pressure.\nKidneys stimulate the making of red blood cells.\nCalcium levels are maintained.""]",close analogy,C2
5,11What happens during soil erosion due to wind?,"The ocean waves erode the coastline, wearing away the rock and other sediment. Ocean water carries away the sediment, as well as debris stirred up by the waves. Ocean currents transport the sediment and debris to other locations, causing further erosion.","Carbon dioxide passes through stomata in the leaves.
Water is absorbed through roots.
Chloroplast cells in leaves contain chlorophyll.
Chlorophyll absorbs energy from sunlight.
Energy splits water molecules into hydrogen and oxygen.
Oxygen gets released into atmosphere.
Hydrogen and carbon dioxide used to create glucose.
Glucose is food for plants.","Sunlight passes through the glass into the greenhouse.
The plants and floor absorb the the sunlight.
The absorbed sunlight is converted to heat.
The heat cannot escape the glass.
The heat is trapped in the greenhouse.
The hot air rises.
The colder air at the top is pushed to the bottom.
The colder air is then warmed by the floor and the plants.","Sunlight hits chloroplasts in the plant.
The energy from the sunlight causes an enzyme in the plant to break apart the water.
The water breakes into oxygen, hydrogen, and electrons.
Hydrogen, along with electrons energized by light, converts NADP into NADPH.
Oxygen diffuses out of the plant as a waste product of photosynthesis.","Wind is able to erode soil and carry away particles. This is due to the power of the wind and the fact that it can create dust storms that transport dust away from the soil. Prevailing winds also have an impact on soil erosion as they can be powerful enough to lift and transport particles of soil. As these particles are moved away, the soil gradually erodes and the land changes over time.","[""Sunlight passes through the glass into the greenhouse.\nThe plants and floor absorb the the sunlight.\nThe absorbed sunlight is converted to heat.\nThe heat cannot escape the glass.\nThe heat is trapped in the greenhouse.\nThe hot air rises.\nThe colder air at the top is pushed to the bottom.\nThe colder air is then warmed by the floor and the plants."", ""Carbon dioxide passes through stomata in the leaves.\nWater is absorbed through roots.\nChloroplast cells in leaves contain chlorophyll.\nChlorophyll absorbs energy from sunlight.\nEnergy splits water molecules into hydrogen and oxygen.\nOxygen gets released into atmosphere.\nHydrogen and carbon dioxide used to create glucose.\nGlucose is food for plants."", ""Sunlight hits chloroplasts in the plant.\nThe energy from the sunlight causes an enzyme in the plant to break apart the water.\nThe water breakes into oxygen, hydrogen, and electrons.\nHydrogen, along with electrons energized by light, converts NADP into NADPH.\nOxygen diffuses out of the plant as a waste product of photosynthesis."", ""Wind is able to erode soil and carry away particles. This is due to the power of the wind and the fact that it can create dust storms that transport dust away from the soil. Prevailing winds also have an impact on soil erosion as they can be powerful enough to lift and transport particles of soil. As these particles are moved away, the soil gradually erodes and the land changes over time.""]",close analogy,C4
6,11How does water cause landslides?,"The waves from the ocean erode the shoreline.
 The current is also constantly wearing away sediment.
 The tide carries away debris as it comes in and out.
 Erosion by the ocean is a continuous process that slowly changes the landscape.","Stars burn mass.
The star burns until it runs out of fuel.
The star can no longer support its weight.
The layers of hydrogen press down on the core.
The core gets smaller and smaller under the pressure.
The pressure causes gravity to get stronger.
The gravity becomes so powerful that nothing can escape it.
Anything that gets close to it, is drawn into it by its gravity.
Light is drawn into it.
Light can not escape.","Choose what you want to write your letter on.
Think of what you want to say.
Write some nice things!.
Place the letter into an envelope.
Put a stamp on the top right corner of the face of the envelope.
Write the address of the recipient on the envelope.
Put the envelope in your mailbox.
Raise the flag on your mailbox, indicating to the mailman that you have outgoing mail.","Pressure happens underground.
Tectonic plates underground pull and stretch.
Small cracks are formed in the earth's crust.
The tectonic plates push hard against each other.
Some parts of the earth's crust move up high above the ground.","Water can erode the mountain side, causing the soil to become weak and wear away.
 Heavy rains can cause floods which can further wear away the soil, and carry away debris.
 The combination of water and debris can cause landslides to occur.","[""Choose what you want to write your letter on.\nThink of what you want to say.\nWrite some nice things!.\nPlace the letter into an envelope.\nPut a stamp on the top right corner of the face of the envelope.\nWrite the address of the recipient on the envelope.\nPut the envelope in your mailbox.\nRaise the flag on your mailbox, indicating to the mailman that you have outgoing mail."", ""Stars burn mass.\nThe star burns until it runs out of fuel.\nThe star can no longer support its weight.\nThe layers of hydrogen press down on the core.\nThe core gets smaller and smaller under the pressure.\nThe pressure causes gravity to get stronger.\nThe gravity becomes so powerful that nothing can escape it.\nAnything that gets close to it, is drawn into it by its gravity.\nLight is drawn into it.\nLight can not escape."", ""Pressure happens underground.\nTectonic plates underground pull and stretch.\nSmall cracks are formed in the earth's crust.\nThe tectonic plates push hard against each other.\nSome parts of the earth's crust move up high above the ground."", ""Water can erode the mountain side, causing the soil to become weak and wear away.\n Heavy rains can cause floods which can further wear away the soil, and carry away debris.\n The combination of water and debris can cause landslides to occur.""]",close analogy,C4
7,11What happens during deforestation of a rainforest?,"The ocean waves erode the coastline by breaking down rocks and carrying them away.
 Water currents also erode sediment, further contributing to the erosion of the coastline.
 Salt water can dissolve rocks and minerals, adding to the erosion process.","Frogs lay thousands of eggs.
Egg clusters float around in water.
Tadpoles with gills hatch from the eggs.
Tadpoles swim in water until they grow legs.
Absorbs their tails.
Then the tadpole becomes a froglet.
Then the froglet becomes a frog.","Animals eat a lot during good (warm, clear) weather.
Animals gain weight.
The season changes to one with bad (cold, snowy) weather.
Animals find a place to hibernate.
Animals enter a type of ""sleep"" (hibernation).
Body processes slow down.
The animal's heart rate and breathing rate slow.
The animal loses weight more slowly than usual.
The animal is able to survive not eating or drinking without hurting itself.","Open the Dishwasher.
Slide out the bottom rack.
Take a dirty plate.
Rinse the plate.
Place the dish in the rack.
Repeat leaving enough space for water to reach all items.
Fill the soap cup.
Turn on the dishwasher.","Deforestation of a rainforest is caused by logging, which involves the cutting and removal of trees. This process can erode the rainforest by reducing the number of trees present. Over time, the lack of trees can lead to dying vegetation, which can be further exacerbated by the use of fire. Additionally, chemical pollutants from nearby industry can dissolve the soil, leading to further erosion of the rainforest.","[""Frogs lay thousands of eggs.\nEgg clusters float around in water.\nTadpoles with gills hatch from the eggs.\nTadpoles swim in water until they grow legs.\nAbsorbs their tails.\nThen the tadpole becomes a froglet.\nThen the froglet becomes a frog."", ""Open the Dishwasher.\nSlide out the bottom rack.\nTake a dirty plate.\nRinse the plate.\nPlace the dish in the rack.\nRepeat leaving enough space for water to reach all items.\nFill the soap cup.\nTurn on the dishwasher."", ""Deforestation of a rainforest is caused by logging, which involves the cutting and removal of trees. This process can erode the rainforest by reducing the number of trees present. Over time, the lack of trees can lead to dying vegetation, which can be further exacerbated by the use of fire. Additionally, chemical pollutants from nearby industry can dissolve the soil, leading to further erosion of the rainforest."", ""Animals eat a lot during good (warm, clear) weather.\nAnimals gain weight.\nThe season changes to one with bad (cold, snowy) weather.\nAnimals find a place to hibernate.\nAnimals enter a type of \""sleep\"" (hibernation).\nBody processes slow down.\nThe animal's heart rate and breathing rate slow.\nThe animal loses weight more slowly than usual.\nThe animal is able to survive not eating or drinking without hurting itself.""]",far analogy,C3
8,13What happens during the carbon cycle?,"The water cycle is a cycle of continuous movement of water on the Earth. During the water cycle, evaporation creates water vapor from the oceans, lakes and rivers. This vapor then rises and condenses to form clouds. The clouds then release precipitation such as rain and snow, which returns water to the surface of the Earth. The runoff carries the water into streams and rivers, which will eventually return to the oceans and start the cycle again.","Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.","Determine the weather where you are going.
Pack essential items in your suitcase such as underwear/socks.
Pack weather appropriate clothing in the suitcase.
Always bring a jacket or two.
Always bring one semi-formal outfit for a nice dinner.
Zip up the bag and be ready to go.","Some of the rock in the ground is made of limestone.
Over long periods of time rain can hit the limestone.
And cause a acidic reaction.
The limestone will slowly disintegrate.
A large gap with be where the limestone was.
Result in the cave.","The carbon cycle is a process in which carbon is cycled through the environment. During respiration, carbon dioxide is created from the breakdown of organic compounds. Through photosynthesis, plants return carbon from the atmosphere to the environment. Decomposition carries carbon from dead organisms and waste back into the environment.","[""Some of the rock in the ground is made of limestone.\nOver long periods of time rain can hit the limestone.\nAnd cause a acidic reaction.\nThe limestone will slowly disintegrate.\nA large gap with be where the limestone was.\nResult in the cave."", ""Determine the weather where you are going.\nPack essential items in your suitcase such as underwear/socks.\nPack weather appropriate clothing in the suitcase.\nAlways bring a jacket or two.\nAlways bring one semi-formal outfit for a nice dinner.\nZip up the bag and be ready to go."", ""The carbon cycle is a process in which carbon is cycled through the environment. During respiration, carbon dioxide is created from the breakdown of organic compounds. Through photosynthesis, plants return carbon from the atmosphere to the environment. Decomposition carries carbon from dead organisms and waste back into the environment."", ""Pressure pushes up from inside the volcano.\nLava comes out of the volcano.\nAsh clouds and rocks also come out of some volcanos.\nThe things that come out of the volcano cause disturbances in the environment.\nThe eruption lasts for a long time for some eruptions.\nThe volcano loses the built up pressure.\nThe lava and other debris stop coming out of the volcano.\nMudslides and ash clouds cause problems after some eruptions.""]",close analogy,C3
9,15How does the nitrogen cycle work?,"The water cycle is the continuous circulation of water between the atmosphere and Earth's surface.
 The process begins with evaporation, which converts liquid water into water vapor.
 The water vapor rises and cools, forming clouds.
 The condensation of this water vapor forms clouds, which eventually precipitate and deposit the water back onto Earth's surface.","A person takes in oxygen through their nose or mouth.
The oxygen travels into the body.
Breaks down into glucose.
Carbon dioxide is produced by the glucose breakdown.
The carbon dioxide is exhaled out of the body through the nose or mouth.","The carafe is filled with water.
The water is poured into the machine at the back.
Coffee beans are put into a grinder.
The grinder is activated.
A filter is put into the coffee maker.
The ground coffee is put into the filter.
Sometimes a bit of salt is added to the grounds to bring out flavor.
The top of the machine is closed.
The power is turned on.
The water passes through the grounds and becomes coffee.","A bird lays an egg.
The egg hatches into a baby bird.
Baby bird eats.
Grows into an adult bird.
The bird finds a mate.
The pair build a nest.
The birds lay eggs.","The nitrogen cycle is a natural process that is vital for life on Earth. The first step in the cycle is fixation, which is the conversion of atmospheric nitrogen gas into a form that can be used by living organisms. This is usually done by bacteria or lightning. Deposition then deposits nitrogen into the soil, where it is used by plants. Denitrification then takes place, which is the conversion of nitrogen back into nitrogen gas, and also forms nitrate.","[""The carafe is filled with water.\nThe water is poured into the machine at the back.\nCoffee beans are put into a grinder.\nThe grinder is activated.\nA filter is put into the coffee maker.\nThe ground coffee is put into the filter.\nSometimes a bit of salt is added to the grounds to bring out flavor.\nThe top of the machine is closed.\nThe power is turned on.\nThe water passes through the grounds and becomes coffee."", ""A person takes in oxygen through their nose or mouth.\nThe oxygen travels into the body.\nBreaks down into glucose.\nCarbon dioxide is produced by the glucose breakdown.\nThe carbon dioxide is exhaled out of the body through the nose or mouth."", ""A bird lays an egg.\nThe egg hatches into a baby bird.\nBaby bird eats.\nGrows into an adult bird.\nThe bird finds a mate.\nThe pair build a nest.\nThe birds lay eggs."", ""The nitrogen cycle is a natural process that is vital for life on Earth. The first step in the cycle is fixation, which is the conversion of atmospheric nitrogen gas into a form that can be used by living organisms. This is usually done by bacteria or lightning. Deposition then deposits nitrogen into the soil, where it is used by plants. Denitrification then takes place, which is the conversion of nitrogen back into nitrogen gas, and also forms nitrate.""]",close analogy,C4
