,sample_id,source_paragraph,target_paragraph,ground_truth,type
0,721How does water evaporate and condense?,"Clouds are formed when water molecules absorb solar energy and rise to higher altitudes. As the water molecules rise, the air pressure decreases and causes them to condense into tiny water droplets. When enough of these droplets accumulate, they form clouds. The condensation of water vapor is what creates clouds in the atmosphere.","The bat sends out sound waves from their mouth or nose.
The sound waves hit an object.
Echoes are produced.
The echo returns to the bat's ears.
The bat hears the echo.
The bat can figure out where the object is located.",0,random
1,519Describe the life cycle of a butterfly,"The life cycle of a fish begins with an egg. Once the egg hatches, the larvae begins to feed on plankton. As it grows, the larvae transitions into an adult. The adult fish then reproduces and lays eggs, starting the cycle again."," The life cycle of a butterfly begins with an egg. The adult butterfly then reproduces to create eggs. After the eggs are laid, one of them hatches into a caterpillar. The caterpillar feeds on leaves and grows in size until it is ready to enter the pupa stage. In the pupa stage, the caterpillar transforms into an adult butterfly.",0,distractor
2,254How do viruses use humans to help spread their infection?,"Plants depend on animals to help them disburse their seeds. The animals transport the seeds to different locations, which increases the chances of the plants surviving and spreading. The animals carry the seeds in their fur and on their bodies, which allows them to be transported to distant locations. This process of seed dispersal by animals is essential for plants to propagate and survive."," Viruses depend on humans to help spread their infection. Humans can unknowingly transport the virus from one host to another, enabling the virus to spread rapidly. After the virus has been transported, it is then carried by humans and can be transported to other people through contact with saliva, mucus, and other bodily fluids.",0,distractor
3,1081How does a nuclear power plant work?,"A coal-fired power plant works by combusting coal to generate heat. The heat is then transferred to a boiler where it is converted into thermal energy. This thermal energy is used to create steam, which is passed through a turbine that produces electrical power. The turbine rotates, and as it does, it produces electrical power due to the conversion of the thermal energy generated from the combustion of the coal."," Uranium is used in a nuclear power plant and undergoes a process of fission to generate energy. The energy is held in a reactor. The steam is then directed to a turbine. Following this, the reactor converts the nuclear energy into heat. The heat is used to boil water, creating steam. The turbine then produces mechanical energy. Finally, the mechanical energy is converted into electrical power.",0,distractor
4,381How does a computer virus infect a computer?,"A virus is able to infect an animal when it enters the animal cell. Once inside the cell, the virus replicates its genetic material, which can cause diseases. The virus uses the resources of the cell to replicate itself, thus causing diseases in the animal.","A computer virus is a malicious piece of code that enters the computer system through software or a file. Once the virus is inside, it replicates itself and spreads to other digital data. This replication causes the system to malfunction, which can lead to data loss or other damage.",1,analogy
5,936How does wind erosion affect soil composition?,Erosion by the ocean is a process that occurs over time. Waves from the ocean erode cliffs and rocks. Saltwater from the ocean also corrodes the rocks it comes into contact with. The tides also transport sand and other sediment along the shoreline. All these factors contribute to the erosion of the coastline.,"Wind erosion is a process in which wind erodes the soil. The strong winds corrode the soil particles, breaking them down into smaller particles. The wind also has the ability to transport dust and other particles to other places. The wind carries away the eroded particles, which changes the composition of the soil and can lead to soil loss.",1,analogy
6,1078Describe the process of cell division.,"DNA replication is the process of creating two identical copies of DNA strands. The two strands of the double helix separate, allowing for the nucleotides to replicate each strand. The copying process is catalyzed by DNA polymerase, which binds to the DNA strands and replicates the nucleotides. Once the strands are replicated, they are then joined together to form two identical copies of the original DNA.","Energy is stored in a battery.
The energy is released from the battery as electrical current.
The electrical current goes to a motor.
The motor makes the needle of the sewing machine go up and down.
The needle is pressed through the piece of clothing at a constant rate.
Thread is attached and used to stitch the clothing.",0,random
7,1156How are proteins formed?,"Oil is created when hydrocarbons combine to form molecules.  The pressure of the Earth’s crust forces these molecules together to form oil.  The temperature of the Earth’s crust also affects the viscosity of oil, as it changes the molecular structure of the oil molecules.","Proteins are formed when amino acids combine together. The forces of chemical bonds hold the amino acids together and form the proteins. Depending on the environmental conditions, the stability of proteins can be changed. For example, changes in pH, temperature, and pressure can all impact the structure of proteins.",1,analogy
8,1156How is coal formed?,"Oil is formed when organic matter such as plants and animals decomposes underground over millions of years. Hydrocarbons are created as a result and accumulate in sedimentary rocks. The heat and pressure from the Earth's surface increases over time, which causes the hydrocarbons to form oil.","An eagle flys along.
The eagle spots a mouse on the ground.
The eagle swoops down.
Catches the mouse in its talons.
The eagle has a meal.",0,random
9,1183How does an air purifier work?,A water purifier is a system that filters out unwanted contaminants from water. It uses a series of processes such as sedimentation to separate solid particles and carbon to absorb toxins. Water is then forced through a filter to remove any remaining contaminants. The filtered water is now clean and ready for use.,"An air purifier works by filtering the air and separating out particles. The air passes through a filter that captures large particles such as dust, pollen, and pet dander. It then goes through adsorption which separates out gaseous particles, such as volatile organic compounds (VOCs). The charcoal acts as a filter and absorbs pollutants in the air.",1,analogy
