,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,predicted_label
1,674Describe the process of gene mutation,674,Describe the process of fossilization,Natural Sciences,Biomedical and Health Sciences,Describe the process of gene mutation,Biomedical and Health Sciences,"(Organic matter, gets buried, underground) like (DNA, gets mutated, in vivo). (Mineral deposits, accumulate, around the organic matter) like (Environmental factors, affect, the genetic material). (Fossils, form, over time) like (Mutations, manifest, over generations)","Fossilization is the process of organic matter getting buried underground over time. As it gets buried, mineral deposits accumulate around the organic matter. These mineral deposits slowly harden and form fossils over time.","Gene mutation occurs when the genetic material, DNA, gets mutated in vivo. Environmental factors, such as exposure to radiation or certain chemicals, can affect the genetic material and cause mutations. These mutations can manifest over generations, as they are passed down through the generations.",,1
2,1066Describe the life cycle of a family.,1066,Describe the life cycle of a mushroom.,Natural Sciences,Social Sciences,Describe the life cycle of a family.,Sociology,"(spore, develops, mushroom) like (parent, develops, family). (fungi, reproduces, spores) like (couple, reproduces, children). (mushroom, dies, decaying matter) like (family, dissolves, death or divorce)","The life cycle of a mushroom starts with a spore that develops and eventually grows into the visible mushroom. The fungi then reproduces by releasing spores. The mushroom lives for a short period of time and eventually dies, becoming decaying matter. This decaying matter releases more spores to start the life cycle again.","The life cycle of a family begins when a couple decides to become parents and develops a family. Through reproduction, the couple will bring children into the world, thus growing the family. The family will continue to grow and develop until death or divorce, when the family will dissolve.",,1
3,449What happens during the carbon cycle?,449,What happens during the rock cycle,Natural Sciences,Natural Sciences,What happens during the carbon cycle?,Ecology,"(erosion, breaks down, rocks) like (respiration, breaks down, carbon dioxide). (sedimentation, deposits, particles) like (photosynthesis, deposits, carbon). (heat, melts, rocks) like (chemical reactions, breaks down, carbon compounds)","The rock cycle is a process that involves the breakdown, transport, and reformation of rocks. Erosion breaks down rocks and the particles are transported by various agents such as water and wind. Eventually, sedimentation deposits the particles in new locations. Heat can also cause rocks to melt, which will form magma. The magma will then cool and solidify to form new rocks.",The carbon cycle is a continuous process of breaking down and depositing carbon. Respiration breaks down carbon dioxide and releases it into the atmosphere. Photosynthesis then deposits this carbon into plants and other organic matter. Chemical reactions then break down these carbon compounds and release them back into the atmosphere.,,2
5,939How does respiration occur in humans?,939,What happens during photosynthesis?,Natural Sciences,Natural Sciences,How does respiration occur in humans?,Biology,"(sunlight, converts, carbon dioxide) like (oxygen, converts, glucose) . (chlorophyll, absorbs, energy) like (mitochondria, absorbs, energy) . (water, releases, oxygen) like (glucose, releases, carbon dioxide)","During photosynthesis, the energy from the sun is converted into chemical energy from the carbon dioxide, which is then absorbed by the chlorophyll. The energy from the sun is then used to break down water molecules and release oxygen into the atmosphere. The process of photosynthesis is essential for plants as it provides them with the energy they need to grow and survive.","Respiration is a complex process that occurs in humans. Oxygen is inhaled into the lungs and is then transported to the cells of the body. In the cells, oxygen converts glucose into energy. This process takes place in the mitochondria, where oxygen is absorbed and energy is released. This energy is then used for various bodily functions. The process of respiration also involves the release of carbon dioxide, which is a byproduct of the conversion of glucose.",,1
7,900How does the human immune system work?,900,How does the human auditory system work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the human immune system work?,Immunology,"(ears, capture, sound waves) like (antigen-presenting cells, capture, antigens). (cochlea, converts, sound waves) like (antibodies, convert, antigens). (inner ear, transmits, signals) like (immune cells, transmit, signals)",The human auditory system relies on the ears to capture sound waves. These sound waves are then directed into the ear canal and are received by the eardrum. The eardrum vibrates in response to the sound waves and then transmits it to the cochlea. The cochlea then converts the sound waves into electrical signals which are then transmitted to the inner ear. The inner ear further processes these electrical signals and sends them to the brain where they are interpreted as sound.,"The human immune system is a complex network of cells and processes that work together to protect the body from infection. Antigen-presenting cells capture antigens and present them to other cells of the immune system. Antibodies convert these antigens into signals that can be recognized and reacted to by other immune cells. Immune cells then transmit these signals throughout the body, initiating a cascade of responses that work to protect the body from invasion.",,1
8,693How does a chemical reaction cause acid rain?,693,Describe the process of pollution causing bad effects on the enviroinment.,Natural Sciences,Engineering,How does a chemical reaction cause acid rain?,Chemical Engineering,"(Pollutants, release, toxic gases) like (Reactants, release, acidic compounds). (Smoke, contaminate, air) like (Acid, contaminate, water). (Burning fossil fuels, increase, carbon dioxide levels) like (Chemical reaction, increase, sulfuric acid levels)","Pollutants such as industrial waste release toxic gases into the environment. Smoke from factories contaminate the air and burning fossil fuels further increase the levels of carbon dioxide. These pollutants have a bad effect on the environment, resulting in adverse impacts on our health, ecosystems and global climate.","A chemical reaction between reactants in the atmosphere can result in the release of acidic compounds, such as sulfuric acid, which can contaminate water sources. The increase in sulfuric acid levels due to the reaction can cause acid rain, which can have damaging effects to the environment.",,1
11,1030Describe the process of using sunlight to photosynthesize food.,1030,Describe the process of using oil to heat a house.,Engineering,Biomedical and Health Sciences,Describe the process of using sunlight to photosynthesize food.,Biological Sciences,"(oil, absorbs, heat) like (sunlight, absorbs, energy). (thermostat, controls, temperature) like (chloroplast, controls, photosynthesis). (burner, releases, heat) like (chlorophyll, releases, oxygen)","When using oil to heat a house, oil is burned in the furnace, which absorbs heat from the combustion process. The thermostat is then used to control the temperature of the house, by adjusting the flow of the oil to the burner. The burner then releases the heat, which is distributed throughout the house by the furnace.","The process of using sunlight to photosynthesize food starts when sunlight absorbs energy. This energy is then used by the chloroplast, a specialized organelle that controls photosynthesis. The chloroplast contains chlorophyll, a green pigment that absorbs the energy from the sunlight and releases oxygen. The chlorophyll also uses the energy to convert carbon dioxide and water into sugar and other molecules that are used to create food.",,1
12,516Describe the life cycle of a family,516,Describe the life cycle of a frog,Natural Sciences,Social Sciences,Describe the life cycle of a family,Sociology,"(egg, develops, tadpole) like (marriage, develops, family). (tadpole, matures, frog) like (spouses, mature, parents). (frog, reproduces, eggs) like (parents, reproduce, children)","The life cycle of a frog begins with eggs that are laid in water. After the eggs hatch, they develop into tadpoles. The tadpole grows and matures into an adult frog over time. Once the frog is mature, it reproduces and lays eggs to start the cycle again. The eggs hatch and develop into tadpoles, which eventually mature into frogs and reproduce again.","A family begins with the marriage of two people, where a bond is developed that forms the basis of the family. As the spouses mature and evolve, they become parents and reproduce children, who become the next generation of the family. The cycle continues, with each generation maturing to become parents and forming the next generation of the family.",,2
13,874How does money get from a bank to a consumer?,874,How does oil get from the ground to a gas station?,Engineering,Social Sciences,How does money get from a bank to a consumer?,Economics,"(drill, extracts, crude oil) like (loan, provides, money). (oil tanker, transports, oil) like (electronic transfer, transports, funds). (refinery, processes, oil) like (bank, manages, funds)","Oil is extracted from the ground with a drill. The crude oil is then transported to a refinery with an oil tanker. At the refinery, the oil is processed so it can be used in everyday products. Finally, the oil is transported to a gas station, where it is available for consumers to purchase.","When a consumer needs money, they can take out a loan from a bank.  The bank provides the money to the consumer and manages the funds. The money is then transported to the consumer via an electronic transfer. This transfer allows the money to be securely moved from the bank to the consumer's account.",,1
14,1096How is a supernova formed?,1096,How is a white dwarf star formed?,Natural Sciences,Natural Sciences,How is a supernova formed?,Astronomy,"(massive star, generates, gravitational pull) like (large star, generates, gravitational force). (hydrogen, fuses, helium) like (hydrogen, combines, oxygen). (star, collapses, neutron star) like (star, explodes, supernova)","A white dwarf star is formed when a massive star has exhausted its fuel for nuclear fusion and can no longer generate enough gravitational pull to maintain its form. The hydrogen in the star fuses into helium, which causes the star to collapse. This collapse can result in a neutron star or a white dwarf star. The white dwarf star is formed when the gravitational pull of the star is not strong enough to create a neutron star.","A supernova is formed when the gravitational force generated by a large star causes hydrogen and oxygen to combine. This combination causes the star to reach an unstable state, eventually leading to a massive explosion that results in a supernova.",,1
