,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph,random_target_paragraph
0,742How do dolphins use sonar to detect prey?,742,How do bats use echolocation?,Natural Sciences,Natural Sciences,How do dolphins use sonar to detect prey?,Marine Biology,"(bats, emit, sound waves) like (dolphins, emit, sound waves). (echolocation, detect, objects) like (sonar, detect, objects). (bouncing sound waves, detect, shape and location) like (echoing sound waves, detect, shape and location)","Bats use echolocation to detect objects in their surroundings. They emit sound waves which bounce off of nearby objects and return to the bat. These bouncing sound waves allow the bat to detect the shape and location of its surroundings. The bat then uses this information to navigate, hunt, and avoid obstacles.","Dolphins use sonar to detect prey by emitting sound waves. These sound waves travel through the water and bounce off objects, creating an echoing sound that is used to detect the shape and location of the object. The sonar system then interprets the echo and gives dolphins an idea of what the object is and where it is located."," Dolphins emit sound waves. Immediately, the sonar system in the dolphin interprets the echo. Following this, the sound waves bounce off objects creating an echo. Finally, the echo is used to determine the shape and location of the object.","Plants start growing on or near the rocks.
The roots of the growing plants start to break up the rock.
The plant acids dissolve the rock.
The rock is broken down into smaller pieces.
Erosion begins."
1,924How does an oxygen mask work?,924,What do lungs do?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does an oxygen mask work?,Biomedical and Health Sciences,"(lungs, absorb, oxygen) like (mask, absorb, oxygen). (lungs, exhale, carbon dioxide) like (mask, exhale, carbon dioxide). (lungs, filter, air) like (mask, filter, air)","Lungs are important organs that perform several vital functions. They absorb oxygen from the air and filter out particles, such as dust and pollen. They also exhale carbon dioxide, which is a waste product of the body. The oxygen is then transported to the cells where it is used for energy production. Thus, lungs are essential for life and are responsible for the exchange of gases in the body.","An oxygen mask works by absorbing oxygen from the air and filtering out any unwanted particles. The mask then exhales carbon dioxide, allowing the user to breathe fresh oxygen. The mask is designed to provide just the right amount of oxygen so that the user can breathe comfortably."," The mask provides the right amount of oxygen for the user to breathe comfortably. After providing oxygen, the mask absorbs oxygen from the air and filters out unwanted particles. Finally, the mask exhales carbon dioxide.","Air enters the nose or mouth and travels through the windpipe into the lungs.
The lungs have a series of smaller and finer tubes and sacs.
Air reaches the smallest and finest air sacs called alveoli.
Oxygen travels from the alveoli into the blood.
Oxygen-rich blood is carried to the heart.
Oxygen-rich blood is pumped throughout the body by the heart.
Cells take in the oxygen rich blood and release carbon dioxide rich blood.
The carbon dioxide rich blood travels to the lungs.
Carbon dioxide travels through the throat and is exhaled."
2,316What happens during corrosion?,316,What happens during weathering?,Natural Sciences,Engineering,What happens during corrosion?,Chemical Engineering,"(temperature, accelerates, weathering) like (electrolyte, accelerates, corrosion). (rain, erodes, rock surface) like (acid, erodes, metal surface). (sunlight, weakens, rock composition) like (oxygen, weakens, metal composition)","Weathering is the process of breaking down of rocks due to external forces. Temperature accelerates this process, as warmer temperatures cause the rock to expand and contract, causing it to crack. Additionally, rain erodes the rock surface and sunlight weakens the rock composition. All of these factors contribute to the process of weathering.","Corrosion is a process that occurs when a metal is exposed to an electrolyte. The electrolyte accelerates corrosion by introducing electrons to the metal surface. This creates an acid that erodes the metal surface. In addition, oxygen weakens the metal composition, further contributing to the corrosion process."," When a metal is exposed to an electrolyte, it creates an acid that erodes the metal surface. After the acid is created, the electrolyte accelerates corrosion by introducing electrons to the metal surface. Finally, oxygen weakens the metal composition, further contributing to the corrosion process.","Put water in an ice cube tray.
Put the ice cube tray in the freezer.
Wait 5 to 6 hours.
Take the ice cube tray out of the freezer.
Bend the tray slightly to get the ice cubes out and into a drink."
3,369How do the human body organs obtain and use oxygen?,369,How do plants obtain and use water?,Natural Sciences,Biomedical and Health Sciences,How do the human body organs obtain and use oxygen?,Biomedical and Health Sciences,"(roots, absorb, water) like (lungs, absorb, oxygen). (stomata, release, water vapor) like (blood vessels, release, carbon dioxide). (transpiration, transport, water) like (circulation, transport, oxygen)","Plants obtain water through their roots. The roots absorb water from the soil, which is then transported to the leaves. Stomata on the leaves then release water vapor through a process called transpiration, which helps transport the water through the plant. This process of water uptake and release helps provide the plant with the water it needs to survive.","The lungs absorb oxygen from the atmosphere, and then release carbon dioxide into the air. Oxygen is then transported through the bloodstream via circulation. Blood vessels carry oxygen to the organs and tissues of the body, where it is used for metabolic processes. At the same time, the blood vessels release carbon dioxide from the body."," The blood vessels release carbon dioxide from the body. Following this, the lungs absorb oxygen from the atmosphere. Then, the lungs release carbon dioxide into the air. Afterward, oxygen is transported through the bloodstream via circulation. Subsequently, blood vessels carry oxygen to the organs and tissues of the body. Finally, the organs and tissues use the oxygen for metabolic processes.","Bees go out during the day and gather food.
Then while gathering of their food, they make wax, which is the building block of their bee hive.
Bees make food called honey.
They use a sticky, glue-like substance called propolis as a binding to hold their hives together.
Bees produce all of the building blocks to build their hive in their own body."
4,720How are fog droplets formed?,720,How are clouds formed?,Natural Sciences,Engineering,How are fog droplets formed?,Atmospheric Engineering,"(moisture, condenses, water vapor) like (water vapor, condenses, fog droplets). (air, rises, atmosphere) like (air, rises, atmosphere). (temperature, decreases, condensation) like (temperature, decreases, condensation)","Clouds form when water vapor in the air condenses to form tiny droplets of liquid water. This happens when air rises into the atmosphere and the temperature decreases, causing the moisture to condense. The tiny droplets of water form clouds as they accumulate in the atmosphere.","Fog droplets form when water vapor in the air condenses into tiny droplets. This condensation occurs when air rises in the atmosphere, which causes the temperature to decrease. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets."," Water vapor in the air condenses into tiny droplets. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets. After the formation of fog droplets, air rises in the atmosphere, causing the temperature to decrease.","Gases cause pressure beneath the earth.
The gases come to a head and push molten magma to the surface.
The magma cools.
With enough time the pressure builds up greatly.
The resulting volcano may explode."
5,423How does a medication get from a laboratory to a hospital?,423,How does coal get from the ground to a power station?,Engineering,Biomedical and Health Sciences,How does a medication get from a laboratory to a hospital?,Biomedical and Health Sciences,"(coal, extracted, mine) like (medication, extracted, lab). (truck, transports, coal) like (van, transports, medication). (power station, consumes, coal) like (hospital, consumes, medication)","Coal is extracted from a mine, usually through a mining operation. Once extracted, the coal is transported to the power station via a truck or train. At the power station, the coal is consumed as fuel to generate electricity.","The medication is extracted from the laboratory and placed into a van. The van then transports the medication to the hospital. Once the medication is at the hospital, it is consumed and used to treat patients."," The medication is first consumed and used to treat patients at the hospital. After being consumed, the medication is then extracted from the laboratory. Once extracted, the medication is placed into a van. Finally, the van transports the already consumed medication to the hospital.","Human beings burn fossil fuels (oil, gas, etc.).
Carbon dioxide from the burning fossil fuels enter the atmosphere.
The make-up of the atmosphere changes.
Some energy from the sun cannot escape back through the changed atmosphere.
The earth begins to heat because of the extra trapped energy.
Human beings cut down trees.
Human beings do not re-plant the trees.
Trees cannot help take the extra carbon dioxide from the atmosphere.
The extra trapped energy starts to change the earth's short term weather.
Eventually the long-term climate patterns start to change."
6,1202How are enzymes produced in a plant?,1202,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Natural Sciences,How are enzymes produced in a plant?,Plant Biology,"(Amino acids, combine to form, proteins) like (Substrates, combine to form, enzymes). (Ribosomes, translate, mRNA) like (Chloroplasts, translate, mRNA). (DNA, codes for, proteins) like (DNA, codes for, enzymes)",Proteins are formed by the combination of amino acids. The process occurs in the cytoplasm of the cell. DNA codes for proteins and provides the information for their synthesis. Ribosomes translate the mRNA and use it to guide the formation of proteins. The amino acids are then combined to form proteins in accordance with the instructions from the mRNA.,"Enzymes are produced in a plant when substrates combine to form them. This process is directed by the plant's DNA, which codes for the production of the enzymes. The DNA then is transcribed into mRNA, which is translated in the chloroplasts of the plant. The mRNA is responsible for the production of the enzymes."," Substrates combine to form enzymes in a plant. Following this, the DNA gets transcribed into mRNA. After the transcription, the process is directed by the plant's DNA, which codes for the enzyme production. Finally, the mRNA is responsible for the production of the enzymes.","The gravity of the sun pulls its mass inward.
There is a lot of pressure on the Sun.
The pressure forces atoms of hydrogen to fuse together in nuclear reactions.
The energy from the reactions gives off different kinds of light.
The light travels to the Earth."
7,520Describe the metamorphosis of a butterfly,520,Describe the life cycle of a fish,Natural Sciences,Natural Sciences,Describe the metamorphosis of a butterfly,Entomology,"(fishes, lay, eggs) like (butterflies, lay, eggs). (fishes, hatch, larvae) like (butterflies, hatch, caterpillars). (fishes, develop, fins) like (butterflies, develop, wings). (fishes, molt, scales) like (butterflies, molt, cocoons)","The life cycle of a fish begins with the laying of eggs. The eggs hatch and larvae emerge. As they develop, the larvae develop fins and scales. The larvae grow and eventually molt their scales. After molting, the fishes are mature and ready to reproduce.","Butterflies lay eggs, which hatch into caterpillars. The caterpillars feed and grow until they are ready to transform. To complete their metamorphosis, they molt into a cocoon and develop wings. After a short time, the butterflies emerge from their cocoons with fully developed wings, ready to take flight."," Butterflies lay eggs. After laying eggs, they molt into a cocoon and develop wings. While still in the cocoon, the caterpillars feed and grow until they are ready to transform. After the transformation, the eggs hatch into caterpillars. Finally, the butterflies emerge from their cocoons with fully developed wings, ready to take flight.","Carbon dioxide enters the leaves through the stomates by diffusion.
Water is transported to the leaves in the xylem.
Energy harvested through light reaction is stored by forming ATP.
Carbon dioxide and energy from ATP are used to create sugar.
Oxygen exits the leaves through the stomata by diffusion.
The plant reuses the water or the water exits through the stomata as water vapor."
8,877How does a snowstorm develop?,877,How does rain form?,Natural Sciences,Natural Sciences,How does a snowstorm develop?,Meteorology,"(atmosphere, evaporates, water) like (atmosphere, sublimates, snow). (temperature, decreases, air pressure) like (temperature, decreases, air pressure). (warm, air rises, clouds) like (cold, air rises, clouds). (condensation, forms, water droplets) like (sublimation, forms, snowflakes)","Rain forms when the atmosphere evaporates water from the ground and the temperature decreases the air pressure. This causes warm air to rise, forming clouds. As the air rises, it cools and condensation forms water droplets, which eventually become large enough to fall as rain.","A snowstorm begins when the atmosphere sublimates snow. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes. Eventually, these snowflakes accumulate and a snowstorm develops."," A snowstorm begins when the atmosphere sublimates snow. Eventually, these snowflakes accumulate and a snowstorm develops. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes.","Electromagnet creates magnetic field with electricity.
Conductive copper wire is wrapped around a piece of metal.
An electric current gets introduced from power source.
Flows through the wire.
Magnetic field gets created in the wire.
And the metal gets magnetized.
When turned off it is no longer magnetic."
9,365Describe how air pollution can affect the environment.,365,Describe how acid rain can affect the environment.,Natural Sciences,Engineering,Describe how air pollution can affect the environment.,Environmental Engineering,"(acid rain, pollutes, atmosphere) like (air pollution, pollutes, atmosphere). (acid rain, corrodes, buildings) like (air pollution, corrodes, buildings). (acid rain, affects, water supply) like (air pollution, affects, water supply)","Acid rain is a form of precipitation that has a pH level lower than 5.6. It is caused by pollutants in the atmosphere, such as sulfur dioxide and nitrogen oxide, which react with water droplets in the atmosphere. Acid rain can pollute the atmosphere, corrode buildings, and affect the water supply. It can also damage ecosystems by changing the levels of soil and water acidity, which affects the balance of plants and animals in an area.","Air pollution has a negative effect on the environment. It pollutes the atmosphere, corrodes buildings, and affects the water supply. Pollutants can be carried in the air, leading to an increase in the concentration of pollutants in the atmosphere. These pollutants can then be deposited on the land, in the soil, and in the water, leading to further environmental impacts. Air pollution can also lead to acid rain, which can cause damage to crops, buildings, and other structures. Finally, air pollution can have a direct effect on human health, causing respiratory problems and increased risk of disease."," Air pollution has a negative effect on the environment. The atmosphere is polluted and buildings corroded. Water supply is affected. More environmental impacts are observed. The concentration of pollutants in the atmosphere increased. Pollutants are carried in the air. These pollutants are deposited on the land, in the soil, and in the water. Acid rain occurs and causes damage to crops, buildings, and other structures. Finally, air pollution directly affects human health causing respiratory problems and increased risk of disease.","A satellite's need is determined.
A group of people work to design a satellite capable of accomplishing the need.
A team designs the physical structure of the satellite.
A crew builds the physical satellite.
The satellite is packed into a capsule.
The satellite capsule is loaded onto a rocket.
The rocket is launched into space."
