,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,target_events_order,target_new_events_order,explanation,new_paragraph
0,7What causes an earthquake to occur?,7,What causs a volcano to erupt?,Natural Sciences,Natural Sciences,What causes an earthquake to occur?,Earth Sciences,"(magma, builds up, pressure) like (tectonic plates, builds up, tension)
  (magma, forces, its way up) like (plates, forces, their way past each other)
  (volcano, releases, heat) like (earthquake, releases, seismic waves)","A volcano erupts when magma builds up pressure beneath the surface.
  The pressure causes the magma to force its way up through the volcano, releasing heat in the process.
  The combination of pressure and heat leads to the eruption of the volcano.","An earthquake is caused by the tension that builds up between tectonic plates.
  When the tension reaches a certain level, the plates are forced past one another, releasing seismic waves and causing an earthquake.
  The seismic waves travel through the Earth and can be detected by seismographs.",close analogy,"[1]: Tension builds up between tectonic plates.
 [2]: Tension reaches a certain level and plates are forced past one another, releasing seismic waves.
 [3]: An earthquake occurs.
 [4]: The seismic waves travel through the Earth.
 [5]: Seismic waves are detected by seismographs.","[1]: Tension builds up between tectonic plates.
 [2]: Seismic waves are detected by seismographs.
 [3]: Tension reaches a certain level and plates are forced past one another, releasing seismic waves.
 [4]: An earthquake occurs.
 [5]: The seismic waves travel through the Earth.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Tension reaches a certain level and plates are forced past one another, releasing seismic waves."" must happen before ""[5]: Seismic waves are detected by seismographs."" because seismic waves can only be detected after they have been released due to the tension between tectonic plates. In the NEW_PARAGRAPH_ORDER, seismic waves are detected before they are even released, which is illogical."," Tension builds up between tectonic plates. Seismic waves are detected by seismographs before they are even released. As tension reaches a certain level, plates are forced past one another, releasing seismic waves. Then, an earthquake occurs. Finally, the seismic waves travel through the Earth."
1,7How does a political system change over time?,7,What causs a volcano to erupt?,Natural Sciences,Social Sciences,How does a political system change over time?,Political Science,"(tectonic plates, shift, Earth's crust) like (ideas, shift, public opinion)
  (magma, rises, surface) like (protest, rises, streets)
  (pressure, builds, magma chamber) like (tension, builds, political climate)","Volcanic eruptions occur when tectonic plates shift and cause changes in the Earth's crust.
  These movements can create a path for magma to rise to the surface, which builds up pressure in the magma chamber.
  The pressure from the magma builds until it is released in the form of a volcanic eruption.","Ideas shift public opinion, which can lead to protest in the streets.
  When the public expresses their dissatisfaction, tension begins to build in the political climate.
  This tension can lead to the implementation of changes in the political system, as the government seeks to address the issues raised by the public.",far analogy,"[1]: Ideas shift public opinion.
 [2]: Protests occur in the streets due to public dissatisfaction.
 [3]: Tension builds in the political climate.
 [4]: Changes are implemented in the political system by the government to address the public's issues.","[1]: Ideas shift public opinion.
 [2]: Changes are implemented in the political system by the government to address the public's issues.
 [3]: Protests occur in the streets due to public dissatisfaction.
 [4]: Tension builds in the political climate.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Protests occur in the streets due to public dissatisfaction."" must happen before ""[4]: Changes are implemented in the political system by the government to address the public's issues."" because it's the public dissatisfaction and protests that create tension and pressure for the government to implement changes. In NEW_PARAGRAPH_ORDER, changes are implemented before the protests happen, which is illogical, as the government wouldn't have a reason to make changes without the pressure from public dissatisfaction and protests."," Ideas shift public opinion, leading to changes in the political system. The government then implements these changes to address the public's issues. However, protests occur in the streets due to public dissatisfaction. As a result, tension builds in the political climate, creating an unstable environment."
2,11How does a river erode its banks?,11,What happens during erosion by the ocean?,Natural Sciences,Engineering,How does a river erode its banks?,Civil Engineering,"(ocean waves, wash away, rocks and sand) like (river flow, wash away, soil and sediment)
  (tides, move, sediment) like (floods, move, sediment)
  (ocean currents, erode, cliffs) like (streams, erode, riverbanks)","Ocean waves wash away rocks and sand.
  Tides move the sediment, and ocean currents erode the cliffs.
  Erosion by the ocean is a continuous process, whereby the ocean's power wears away the coastlines of land. This process is accelerated by high winds and storms, which increase the intensity of the waves, tides, and currents.","The river flow washes away soil and sediment from its banks.
  When there are floods, a large amount of sediment is moved downstream, which can erode the riverbanks.
  The force of the streams can also cause erosion, as they cut into the banks of the river.",close analogy,"[1]: The river flow washes away soil and sediment from its banks.
 [2]: Floods occur.
 [3]: A large amount of sediment is moved downstream, which can erode the riverbanks.
 [4]: The force of the streams can also cause erosion, as they cut into the banks of the river.","[1]: The river flow washes away soil and sediment from its banks.
 [2]: A large amount of sediment is moved downstream, which can erode the riverbanks.
 [3]: Floods occur.
 [4]: The force of the streams can also cause erosion, as they cut into the banks of the river.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Floods occur."" must happen before ""[3]: A large amount of sediment is moved downstream, which can erode the riverbanks."" because floods are the cause of sediment movement and the erosion process. In the NEW_PARAGRAPH_ORDER scenario, sediment is being moved downstream and causing erosion before any floods even occur, which is illogical."," The river flow washes away soil and sediment from its banks. As a result, a large amount of sediment is moved downstream, which can erode the riverbanks. Surprisingly, floods occur afterward. Finally, the force of the streams can also cause erosion, as they cut into the banks of the river."
3,11What happens during soil erosion due to wind?,11,What happens during erosion by the ocean?,Natural Sciences,Natural Sciences,What happens during soil erosion due to wind?,Natural Sciences,"(ocean waves, erode, coastline) like (wind, erode, soil)
  (ocean water, carry away, sediment) like (wind, carry away, particles)
  (ocean currents, transport, debris) like (prevailing winds, transport, dust)","The ocean waves erode the coastline, wearing away the rock and other sediment. Ocean water carries away the sediment, as well as debris stirred up by the waves. Ocean currents transport the sediment and debris to other locations, causing further erosion.","Wind is able to erode soil and carry away particles. This is due to the power of the wind and the fact that it can create dust storms that transport dust away from the soil. Prevailing winds also have an impact on soil erosion as they can be powerful enough to lift and transport particles of soil. As these particles are moved away, the soil gradually erodes and the land changes over time.",close analogy,"[1]: Wind erodes soil and carries away particles.
 [2]: Wind creates dust storms that transport dust away from the soil.
 [3]: Prevailing winds impact soil erosion by lifting and transporting soil particles.
 [4]: Soil gradually erodes and the land changes over time.","[1]: Wind erodes soil and carries away particles.
 [2]: Soil gradually erodes and the land changes over time.
 [3]: Wind creates dust storms that transport dust away from the soil.
 [4]: Prevailing winds impact soil erosion by lifting and transporting soil particles.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Wind creates dust storms that transport dust away from the soil."" and ""[3]: Prevailing winds impact soil erosion by lifting and transporting soil particles."" must happen before ""[4]: Soil gradually erodes and the land changes over time."", because these two events are the causes of soil erosion and land changes. In the NEW_PARAGRAPH_ORDER, soil erosion and land changes happen before the causes, which is illogical because the events that cause soil erosion must occur first for the land to change over time."," Wind erodes soil and carries away particles. As a result, the soil gradually erodes and the land changes over time. Following these changes, wind creates dust storms that transport dust away from the soil. Finally, prevailing winds impact soil erosion by lifting and transporting soil particles."
4,11How does water cause landslides?,11,What happens during erosion by the ocean?,Natural Sciences,Natural Sciences,How does water cause landslides?,Geology,"(wave, erode, shoreline) like (water, erode, mountain side)
  (current, wear away, sediment) like (flood, wear away, soil)
  (tide, carry away, debris) like (rain, carry away, debris)","The waves from the ocean erode the shoreline.
  The current is also constantly wearing away sediment.
  The tide carries away debris as it comes in and out.
  Erosion by the ocean is a continuous process that slowly changes the landscape.","Water can erode the mountain side, causing the soil to become weak and wear away.
  Heavy rains can cause floods which can further wear away the soil, and carry away debris.
  The combination of water and debris can cause landslides to occur.",close analogy,"[1]: Water erodes the mountain side, causing the soil to become weak and wear away.
 [2]: Heavy rains cause floods which can further wear away the soil and carry away debris.
 [3]: The combination of water and debris causes landslides to occur.","[1]: Water erodes the mountain side, causing the soil to become weak and wear away.
 [2]: The combination of water and debris causes landslides to occur.
 [3]: Heavy rains cause floods which can further wear away the soil and carry away debris.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Heavy rains cause floods which can further wear away the soil and carry away debris."" must happen before ""[3]: The combination of water and debris causes landslides to occur."" because the floods created by heavy rains are needed to wear away the soil and carry away debris. Landslides cannot occur before heavy rains and floods cause the soil to weaken and debris to accumulate. In NEW_PARAGRAPH_ORDER, the landslides are happening before heavy rains and floods, which is illogical."," Water erodes the mountain side, causing the soil to become weak and wear away. Then, the combination of water and debris causes landslides to occur. After the landslides, heavy rains cause floods which can further wear away the soil and carry away debris."
5,11What happens during deforestation of a rainforest?,11,What happens during erosion by the ocean?,Natural Sciences,Social Sciences,What happens during deforestation of a rainforest?,Social Sciences,"(ocean waves, erode, coastline) like (logging, erode, rainforest)
  (water currents, erode, sediment) like (fire, erode, vegetation)
  (salt water, dissolve, rocks) like (chemical pollutants, dissolve, soil)","The ocean waves erode the coastline by breaking down rocks and carrying them away.
  Water currents also erode sediment, further contributing to the erosion of the coastline.
  Salt water can dissolve rocks and minerals, adding to the erosion process.","Deforestation of a rainforest is caused by logging, which involves the cutting and removal of trees. This process can erode the rainforest by reducing the number of trees present. Over time, the lack of trees can lead to dying vegetation, which can be further exacerbated by the use of fire. Additionally, chemical pollutants from nearby industry can dissolve the soil, leading to further erosion of the rainforest.",far analogy,"[1]: Deforestation of a rainforest is caused by logging, cutting and removal of trees.
 [2]: The rainforest is eroded by reducing the number of trees present.
 [3]: The lack of trees leads to dying vegetation.
 [4]: The use of fire further exacerbates dying vegetation.
 [5]: Chemical pollutants from nearby industry dissolve the soil.
 [6]: Further erosion of the rainforest occurs due to dissolved soil.","[1]: Deforestation of a rainforest is caused by logging, cutting and removal of trees.
 [2]: The use of fire further exacerbates dying vegetation.
 [3]: The rainforest is eroded by reducing the number of trees present.
 [4]: The lack of trees leads to dying vegetation.
 [5]: Chemical pollutants from nearby industry dissolve the soil.
 [6]: Further erosion of the rainforest occurs due to dissolved soil.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[3]: The lack of trees leads to dying vegetation."" must happen before ""[4]: The use of fire further exacerbates dying vegetation."" because the dying vegetation should be a result of the lack of trees before fire can make it worse. In NEW_PARAGRAPH_ORDER, the use of fire exacerbates dying vegetation is happening before the lack of trees causing dying vegetation, which is illogical because fire cannot exacerbate the issue if there is no dying vegetation to begin with."," Deforestation of a rainforest is caused by logging, cutting and removal of trees. The use of fire further exacerbates dying vegetation before the lack of trees leads to dying vegetation. The rainforest is eroded by reducing the number of trees present. The lack of trees leads to dying vegetation. Chemical pollutants from nearby industry dissolve the soil. Further erosion of the rainforest occurs due to dissolved soil."
6,13What happens during the carbon cycle?,13,What happens during the water cycle?,Natural Sciences,Natural Sciences,What happens during the carbon cycle?,Ecology,"(evaporation, creates, water vapor) like (respiration, creates, carbon dioxide)
  (precipitation, returns, water) like (photosynthesis, returns, carbon)
  (runoff, carries, water) like (decomposition, carries, carbon)","The water cycle is a cycle of continuous movement of water on the Earth. During the water cycle, evaporation creates water vapor from the oceans, lakes and rivers. This vapor then rises and condenses to form clouds. The clouds then release precipitation such as rain and snow, which returns water to the surface of the Earth. The runoff carries the water into streams and rivers, which will eventually return to the oceans and start the cycle again.","The carbon cycle is a process in which carbon is cycled through the environment. During respiration, carbon dioxide is created from the breakdown of organic compounds. Through photosynthesis, plants return carbon from the atmosphere to the environment. Decomposition carries carbon from dead organisms and waste back into the environment.",close analogy,"[1]: Carbon is cycled through the environment in the carbon cycle.
 [2]: Carbon dioxide is created during respiration from the breakdown of organic compounds.
 [3]: Plants return carbon from the atmosphere to the environment through photosynthesis.
 [4]: Carbon is carried from dead organisms and waste back into the environment through decomposition.","[1]: Carbon is cycled through the environment in the carbon cycle.
 [2]: Plants return carbon from the atmosphere to the environment through photosynthesis.
 [3]: Carbon dioxide is created during respiration from the breakdown of organic compounds.
 [4]: Carbon is carried from dead organisms and waste back into the environment through decomposition.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Carbon dioxide is created during respiration from the breakdown of organic compounds."" must happen before ""[3]: Plants return carbon from the atmosphere to the environment through photosynthesis."" because plants need carbon dioxide created during respiration to perform photosynthesis. In NEW_PARAGRAPH_ORDER, photosynthesis happens before respiration, which is illogical, as there would be no carbon dioxide available for plants to perform photosynthesis."," The carbon cycle is a process in which carbon is cycled through the environment. Through photosynthesis, plants return carbon from the atmosphere to the environment. During respiration, carbon dioxide is created from the breakdown of organic compounds. Decomposition carries carbon from dead organisms and waste back into the environment."
7,15How does the nitrogen cycle work?,15,What happens during the water cycle?,Natural Sciences,Natural Sciences,How does the nitrogen cycle work?,Natural Sciences,"(evaporation, converts, liquid water) like (fixation, converts, nitrogen gas)
  (precipitation, deposits, water) like (deposition, deposits, nitrogen)
  (condensation, forms, clouds) like (denitrification, forms, nitrate)","The water cycle is the continuous circulation of water between the atmosphere and Earth's surface.
  The process begins with evaporation, which converts liquid water into water vapor.
  The water vapor rises and cools, forming clouds.
  The condensation of this water vapor forms clouds, which eventually precipitate and deposit the water back onto Earth's surface.","The nitrogen cycle is a natural process that is vital for life on Earth. The first step in the cycle is fixation, which is the conversion of atmospheric nitrogen gas into a form that can be used by living organisms. This is usually done by bacteria or lightning. Deposition then deposits nitrogen into the soil, where it is used by plants. Denitrification then takes place, which is the conversion of nitrogen back into nitrogen gas, and also forms nitrate.",close analogy,"[1]: The first step in the nitrogen cycle is fixation.
 [2]: Atmospheric nitrogen gas is converted into a form usable by living organisms.
 [3]: Deposition thus deposits nitrogen into the soil.
 [4]: Plants use the nitrogen in the soil.
 [5]: Denitrification takes place, converting nitrogen back into nitrogen gas and forming nitrate.","[1]: The first step in the nitrogen cycle is fixation.
 [2]: Atmospheric nitrogen gas is converted into a form usable by living organisms.
 [3]: Denitrification takes place, converting nitrogen back into nitrogen gas and forming nitrate.
 [4]: Deposition thus deposits nitrogen into the soil.
 [5]: Plants use the nitrogen in the soil.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[3]: Deposition thus deposits nitrogen into the soil."" must happen before ""[5]: Denitrification takes place, converting nitrogen back into nitrogen gas and forming nitrate."" because deposition is necessary for putting nitrogen into the soil, which allows plants to use it before denitrification can occur. In NEW_PARAGRAPH_ORDER, denitrification occurs before deposition, meaning there would be no nitrogen in the soil for plants to use, which makes the cycle illogical."," The first step in the nitrogen cycle is fixation, where atmospheric nitrogen gas is converted into a form usable by living organisms. Then, denitrification takes place, converting nitrogen back into nitrogen gas and forming nitrate. Afterward, deposition deposits nitrogen into the soil. Finally, plants use the nitrogen in the soil for their growth and development."
8,20How is waste transported through a sewage system?,20,How is sediment transported across the Earth?,Natural Sciences,Engineering,How is waste transported through a sewage system?,Civil Engineering,"(wind, carries, sediment) like (pipes, carries, waste)
  (gravity, pulls, particles) like (gravity, pulls, solid waste)
  (rain, deposits, debris) like (sewage, deposits, sewage)","Sediment across the Earth is transported in a variety of ways. Wind carries sediment particles through the air and deposits them in new locations. Gravity also plays a role in transporting particles, as it pulls sediment downhill and deposits it in different areas. Rain can also bring debris from one area to another, as it deposits and carries sediment particles away.","The waste from a sewage system is transported through a network of pipes. The pipes carry the waste to the sewage treatment plant. The force of gravity pulls the solid waste through the pipes, while the liquid sewage deposits into the sewage treatment plant.",far analogy,"[1]: Waste from a sewage system is transported through a network of pipes.
 [2]: The force of gravity pulls the solid waste through the pipes.
 [3]: The pipes carry the waste to the sewage treatment plant.
 [4]: Liquid sewage deposits into the sewage treatment plant.","[1]: Waste from a sewage system is transported through a network of pipes.
 [2]: The pipes carry the waste to the sewage treatment plant.
 [3]: Liquid sewage deposits into the sewage treatment plant.
 [4]: The force of gravity pulls the solid waste through the pipes.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The force of gravity pulls the solid waste through the pipes."" must happen before ""[3]: The pipes carry the waste to the sewage treatment plant."" because the force of gravity is responsible for moving the waste through the pipes to reach the sewage treatment plant. In NEW_PARAGRAPH_ORDER, the solid waste starts moving through the pipes after it has already reached the sewage treatment plant, which is illogical."," Waste from a sewage system is transported through a network of pipes. The pipes then carry the waste to the sewage treatment plant. After reaching the treatment plant, liquid sewage deposits into the facility. Finally, the force of gravity pulls the solid waste through the pipes, even though it has already reached the sewage treatment plant."
9,20How is air pollution spread across the atmosphere?,20,How is sediment transported across the Earth?,Natural Sciences,Natural Sciences,How is air pollution spread across the atmosphere?,Atmospheric Science,"(currents, transport, sediment) like (winds, transport, pollutants)
  (gravity, carries, particles) like (atmospheric pressure, carries, particles)
  (water, erodes, sediment) like (chemicals, erodes, ozone layer)","Sediment is transported across the Earth through currents that carry particles of sediment.
  Gravity pulls the particles of sediment down slopes, which helps them move downhill.
  Water is an important factor in the erosion of sediment, as it can carry particles away and deposit them elsewhere.","Air pollution is spread across the atmosphere when winds transport pollutants from one location to another.
  Atmospheric pressure also carries particles from one area to another, which increases the spread of air pollution.
  Furthermore, certain chemicals that are released into the atmosphere can erode the ozone layer and cause further contamination.",close analogy,"[1]: Air pollution is spread across the atmosphere when winds transport pollutants from one location to another.
 [2]: Atmospheric pressure carries particles from one area to another, increasing the spread of air pollution.
 [3]: Certain chemicals are released into the atmosphere that can erode the ozone layer and cause further contamination.","[1]: Air pollution is spread across the atmosphere when winds transport pollutants from one location to another.
 [2]: Certain chemicals are released into the atmosphere that can erode the ozone layer and cause further contamination.
 [3]: Atmospheric pressure carries particles from one area to another, increasing the spread of air pollution.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Atmospheric pressure carries particles from one area to another, increasing the spread of air pollution."" must happen before ""[3]: Certain chemicals are released into the atmosphere that can erode the ozone layer and cause further contamination."" because the atmospheric pressure is responsible for the transport of pollutants that contribute to air pollution before they can erode the ozone layer. In NEW_PARAGRAPH_ORDER, the events are swapped, leading to an illogical order where the ozone layer is affected before the pollutants are even spread."," Air pollution is spread across the atmosphere when winds transport pollutants from one location to another. Following this, certain chemicals are released into the atmosphere that can erode the ozone layer and cause further contamination. After the ozone layer is affected, atmospheric pressure carries particles from one area to another, increasing the spread of air pollution."
