,Unnamed: 0,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,sum_vote_analogy,analogy_type,not_analogy_reasons,is_train,count_annotations,target_events_order,target_new_events_order,explanation,new_paragraph
0,1,7What causes a boiler to explode?,7,What causs a volcano to erupt?,Natural Sciences,Engineering,What causes a boiler to explode?,Chemical Engineering,"(magma, heats, underground water) like (steam, heats, liquid)
 (pressure, builds, inside the volcano) like (pressure, builds, inside the boiler)
 (magma, pushes, against the walls of the volcano) like (steam, pushes, against the walls of the boiler)","When magma heats up underground water, pressure begins to build up inside the volcano.
 This pressure forces the magma to push against the walls of the volcano, leading to an eruption. The eruption is caused by the pressure of the magma against the walls of the volcano, as well as the heat of the magma heating up the underground water.","Steam heats the liquid inside the boiler, causing the pressure to build up.
 As the pressure increases, the steam begins to push against the walls of the boiler.
 The increased pressure can be too much for the boiler to take and if the pressure exceeds the boiler's capacity, it can cause an explosion.",3.0,far analogy,,,,"[1]: Steam heats the liquid inside the boiler, causing pressure to build up.
[2]: As the pressure increases, the steam begins to push against the walls of the boiler.
[3]: The increased pressure can be too much for the boiler to handle, possibly causing an explosion if the pressure exceeds the boiler's capacity.","[1]: The increased pressure can be too much for the boiler to handle, possibly causing an explosion if the pressure exceeds the boiler's capacity.
[2]: Steam heats the liquid inside the boiler, causing pressure to build up.
[3]: As the pressure increases, the steam begins to push against the walls of the boiler.","In the INPUT_PARAGRAPH_ORDER, ""[1]: Steam heats the liquid inside the boiler, causing pressure to build up."" needs to happen before ""[3]: The increased pressure can be too much for the boiler to handle, possibly causing an explosion if the pressure exceeds the boiler's capacity."" An explosion cannot occur if there is no build-up of pressure inside the boiler by the steam's heat. NEW_PARAGRAPH_ORDER is illogical as it suggests an explosion happens before the process that leads to the pressure build-up.","[1] The increased pressure can be too much for the boiler to handle, possibly causing an explosion if the pressure exceeds the boiler's capacity. [2] After the explosion, steam heats the liquid inside the boiler, causing pressure to build up. [3] As the pressure increases, the steam begins to push against the walls of the boiler."
1,10,7What causes an autoimmune disease to flare up?,7,What causs a volcano to erupt?,Natural Sciences,Biomedical and Health Sciences,What causes an autoimmune disease to flare up?,Biomedical and Health Sciences,"(magma, builds up, pressure) like (antigens, builds up, antibodies)
 (tectonic plates, shift, pressure) like (immune system, shifts, response)
 (volcanic gases, trigger, eruption) like (allergens, trigger, flare-up)","Volcanic eruptions are caused by the buildup of pressure within the magma chamber.
 When the tectonic plates shift, it can create pressure within the magma chamber, leading to an eruption.
 Volcanic gases, such as carbon dioxide and sulfur dioxide, can also trigger an eruption by increasing the pressure within the chamber.","An autoimmune disease is caused by an overreaction of the immune system. Antigens build up in the body which leads the immune system to produce antibodies, shifting its normal response. Allergens can then trigger a flare-up of the autoimmune disease, leading to a heightened response from the body's immune system.",3.0,far analogy,,,,"[1]: An autoimmune disease is caused by an overreaction of the immune system.
[2]: Antigens build up in the body, leading the immune system to produce antibodies and shifting its normal response.
[3]: Allergens trigger a flare-up of the autoimmune disease.
[4]: The body's immune system has a heightened response.","[1]: An autoimmune disease is caused by an overreaction of the immune system.
[2]: Allergens trigger a flare-up of the autoimmune disease.
[3]: Antigens build up in the body, leading the immune system to produce antibodies and shifting its normal response.
[4]: The body's immune system has a heightened response.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Antigens build up in the body, leading the immune system to produce antibodies and shifting its normal response."" must happen before ""[3]: Allergens trigger a flare-up of the autoimmune disease."" because the abnormal response is a result of the presence of antigens and the production of antibodies. Swapping the order of these events leads to an illogical sequence, as allergens shouldn't be able to trigger a flare-up before the immune system has shifted its normal response due to antigen buildup.","[1] An autoimmune disease is caused by an overreaction of the immune system. [2] Following this, allergens trigger a flare-up of the autoimmune disease. [3] After the flare-up, antigens build up in the body, leading the immune system to produce antibodies and shifting its normal response. [4] Finally, the body's immune system has a heightened response to the allergens."
2,74,22How does the formation of a river basin occur?,22,How are valleys formed?,Natural Sciences,Biomedical and Health Sciences,How does the formation of a river basin occur?,Geology,"(erosion, shapes, valley) like (weathering, shapes, river basin)
 (rainwater, carries, sediment) like (water, carries, sediment)
 (tectonic shifts, rearranges, topography) like (tectonic shifts, rearranges, landforms)","Valleys are formed by erosion. Rainwater carries sediment and shapes the valley, while tectonic shifts rearrange the topography over time. Erosion caused by the rainwater and sediment can deepen the valleys, while the tectonic shifts can cause the sides of the valley to rise. The combined effect of erosion and tectonic shifts is what creates the valley.","The formation of a river basin occurs through a combination of weathering, water, and tectonic shifts. Weathering shapes the landscape and creates valleys that form the river basin. Water carries sediment and redistributes it, which further shapes the landscape. Lastly, tectonic shifts cause rearrangements of the landforms and contribute to the shape of the river basin.",3.0,close analogy,,,,"[1]: Through a combination of weathering, water, and tectonic shifts, a river basin is formed.
[2]: Weathering shapes the landscape and creates valleys that make up the river basin.
[3]: Water carries sediment and redistributes it to help shape the landscape.
[4]: Tectonic shifts cause rearrangements of the landforms and contribute to the shape of the river basin.","[1]: Through a combination of weathering, water, and tectonic shifts, a river basin is formed.
[2]: Tectonic shifts cause rearrangements of the landforms and contribute to the shape of the river basin.
[3]: Water carries sediment and redistributes it to help shape the landscape.
[4]: Weathering shapes the landscape and creates valleys that make up the river basin.","When examining INPUT_PARAGRAPH_ORDER, it is clear that ""[2]: Weathering shapes the landscape and creates valleys that make up the river basin"" must transpire prior to ""[4]: Tectonic shifts cause rearrangements of the landforms and contribute to the shape of the river basin"". Weathering is crucial in forming and defining the landscape and valleys that will comprise the river basin, elements that then can be further modified by the significant landform rearrangements that tectonic shifts can produce. Having a series of tectonic shifts prior to the process of weathering defies logical order as the basic landscape and physical foundation of the river basin should already be established before they can be altered by tectonic activities.","[1] Through a combination of weathering, water, and tectonic shifts, a river basin is formed. [2] Then, tectonic shifts cause rearrangements of the landforms and contribute to the shape of the river basin. [3] After the tectonic shifts, water carries sediment and redistributes it to help shape the landscape. [4] Finally, weathering shapes the landscape and creates valleys that make up the river basin."
3,83,31How does the formation of an underground cave occur?,31,How do caverns form?,Natural Sciences,Social Sciences,How does the formation of an underground cave occur?,Geology,"(water, erodes, rocks) like (water, erodes, limestone)
 (sediment, builds up, walls) like (sediment, builds up, ceiling)
 (rainfall, dissolves, sediment) like (rainwater, dissolves, calcium carbonate)","Caverns are formed when water erodes the rocks around it.
 As the water slowly erodes the rocks, sediment builds up and forms the walls of the cavern.
 Over time, the rainfall can dissolve the sediment and widen the cavern.","The formation of an underground cave occurs when water erodes the limestone over time.
 The sediment and debris that are eroded by the water builds up on the ceiling of the cave.
 Rainwater also helps with the formation of the cave by dissolving the calcium carbonate present in the limestone.",3.0,close analogy,,,,"[1]: The water erodes the limestone leading to the formation of a cave.
[2]: The sediment and debris eroded by the water builds up on the ceiling of the cave.
[3]: Rainwater dissolves the calcium carbonate present in limestone.","[1]: Rainwater dissolves the calcium carbonate present in limestone.
[2]: The sediment and debris eroded by the water builds up on the ceiling of the cave.
[3]: The water erodes the limestone leading to the formation of a cave.","In the INPUT_PARAGRAPH_ORDER, ""[1]: The water erodes the limestone leading to the formation of a cave."" has to occur before ""[3]: Rainwater dissolves the calcium carbonate present in limestone."" and ""[2]: The sediment and debris eroded by the water builds up on the ceiling of the cave."" as the erosion of limestone by water is a prerequisite for the dissolution of calcium carbonate by rainwater and accumulation of sediment and debris on the cave ceiling. In the NEW_PARAGRAPH_ORDER, these events are rearranged and it is implied that rainwater can dissolve the calcium carbonate even before a cave is formed which is not possible. Hence, the NEW_PARAGRAPH_ORDER is illogical.","[1] Rainwater dissolves the calcium carbonate present in limestone. [2] The sediment and debris eroded by the water then builds up on the ceiling of the cave. [3] Finally, the water erodes the limestone leading to the formation of a cave."
4,113,36How does a social movement develop?,36,How does igneous rock form?,Natural Sciences,Social Sciences,How does a social movement develop?,Sociology,"(magma, solidifies, into rock) like (people, unite, into a movement)
 (the cooling of magma, creates, crystals) like (the organization of people, creates, a movement)
 (igneous rocks, are formed, from molten material) like (social movements, are formed, from collective action)","Igneous rocks are formed from molten material. This molten material is known as magma and it solidifies into rock as it cools. As the magma cools, crystals form within it, creating the igneous rock. The combination of the cooling of magma and the formation of crystals is what creates igneous rock.","People come together to form a social movement.
 The organization of people, who have a common goal, creates a movement.
 Social movements are formed from collective action, as individuals come together to fight for a shared cause.
 By uniting, people can accomplish goals that they cannot achieve on their own.",3.0,far analogy,,,,"[1]: People come together.
[2]: They form a social movement.
[3]: The social movement fights for a shared cause.
[4]: By united, the shared goals are accomplished.","[1]: People come together.
[2]: By united, the shared goals are accomplished.
[3]: They form a social movement.
[4]: The social movement fights for a shared cause.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: They form a social movement."" must happen before ""[4]: By united, the shared goals are accomplished."" because a social movement should be formed first before any goals can be accomplished. Switching the two events makes the sequence illogical because it assumes goals are accomplished before the social movement is formed to fight for these goals. The formation of the social movement is a prerequisite for the accomplishment of shared goals.","[1] People come together. [2] By uniting, they accomplish their shared goals. [3] After accomplishing their goals, they form a social movement. [4] Finally, the social movement fights for a shared cause."
5,164,50How does a metal alloy form?,50,How do minerals form?,Natural Sciences,Engineering,How does a metal alloy form?,Metallurgical Engineering,"(element, combine, mineral) like (metals, combine, alloy)
 (heat, cause, chemical reaction) like (heat, cause, diffusion)
 (pressure, affect, crystal structure) like (pressure, affect, metal structure)","Minerals form when elements combine in fixed proportions. This process can be triggered by a variety of factors, such as heat and pressure. Heat can cause a chemical reaction that leads to the formation of a mineral, while pressure can affect the crystal structure of the mineral. Ultimately, the combination of elements, heat, and pressure leads to the formation of minerals.","Metals can be combined to form an alloy. This process is usually caused by heating, which allows for the diffusion of atoms from one metal to the other. Additionally, pressure can also affect the metal structure, resulting in a new alloy with different properties.",3.0,far analogy,,,,"[1]: Metals are combined.
[2]: This process is induced by heating, allowing diffusion of atoms.
[3]: Pressure can also affect the metal structure.","[1]: This process is induced by heating, allowing diffusion of atoms.
[2]: Metals are combined.
[3]: Pressure can also affect the metal structure.","By studying the INPUT_PARAGRAPH_ORDER, it's clear that ""[1]: Metals are combined."" must happen before ""[2]: This process is induced by heating, allowing diffusion of atoms."", because heating causes the metals to combine, not the other way around. If we say that the heating occurs before the metals are combined, it's nonsensical, because there are no metals to heat and cause their atoms to mix. The new order is illogical because first, the metals should be combined, and then heated to unite them into an alloy.","[1] The process begins by heating, which allows the diffusion of atoms. [2] Following this, metals are combined. [3] Finally, pressure can also affect the metal structure, resulting in a new alloy with different properties."
6,167,50How do crystals form?,50,How do minerals form?,Natural Sciences,Natural Sciences,How do crystals form?,Geology,"(molten rock, contains, minerals) like (liquid, contains, crystals)
 (pressure, causes, minerals to form) like (pressure, causes, crystals to form)
 (temperature, affects, minerals) like (temperature, affects, crystals)","Minerals form when molten rock cools and solidifies. The molten rock contains various minerals in its liquid state. As the molten rock cools, pressure causes the minerals to form solid crystals. The temperature at which the molten rock cools also affects what type of minerals form.","Crystals can form in a liquid when the pressure increases. This pressure causes the liquid to become saturated with crystals, which then bond together to form larger crystals. Temperature also plays an important role in crystal formation, as it affects the rate at which crystals can form and grow.",3.0,close analogy,,,,"[1]: Pressure increases in a liquid 
[2]: The liquid becomes saturated with crystals
[3]: Crystals bond together to form larger crystals
[4]: The temperature affects the rate of crystal formation and growth","[1]: The liquid becomes saturated with crystals
[2]: Pressure increases in a liquid 
[3]: Crystals bond together to form larger crystals
[4]: The temperature affects the rate of crystal formation and growth","Based on the original INPUT_PARAGRAPH_ORDER, ""[1]: Pressure increases in a liquid"" must occur before ""[2]: The liquid becomes saturated with crystals,"" because increased pressure is what causes the liquid to become saturated with crystals. In the NEW_PARAGRAPH_ORDER, the pressure has increased after the liquid has already become saturated with crystals, which does not make sense. It is illogical because the saturation of the liquid with crystals is a result of increased pressure, not the other way around.","[1] The liquid becomes saturated with crystals. [2] Following this, pressure increases in the liquid. [3] Subsequently, the crystals bond together to form larger crystals. [4] Finally, the temperature affects the rate of crystal formation and growth."
7,183,52How does a structure respond to an earthquake?,52,How do earthquakes occur?,Natural Sciences,Engineering,How does a structure respond to an earthquake?,Structural Engineering,"(tectonic plates, shift, earth's surface) like (foundation, shift, building structure)
 (pressure waves, travel, through the Earth's crust) like (vibrations, travel, through the support columns)
 (energy, dissipate, through the ground) like (energy, dissipate, through the structure)","Earthquakes occur when tectonic plates shift, causing an upheaval at the earth's surface. This process releases energy in the form of pressure waves that travel through the Earth's crust. As the waves spread out, the energy dissipates through the ground, resulting in vibrations and shaking.","When an earthquake occurs, the foundation of the building shifts, causing the building structure to move.
 Vibrations travel through the support columns and are transferred throughout the structure.
 The energy from the vibrations dissipates through the structure, reducing the amount of force and shaking felt within the building.",3.0,close analogy,,,,"[1]: An earthquake occurs, making the foundation of the building shift.
[2]: The building structure moves.
[3]: Vibrations travel through the support columns and are transferred throughout the structure.
[4]: The energy from the vibrations dissipates through the structure, reducing the amount of force and shaking felt within the building.","[1]: An earthquake occurs, making the foundation of the building shift.
[2]: The energy from the vibrations dissipates through the structure, reducing the amount of force and shaking felt within the building.
[3]: The building structure moves.
[4]: Vibrations travel through the support columns and are transferred throughout the structure.","By examining INPUT_PARAGRAPH_ORDER, ""[2]: The building structure moves"" must occur before ""[3]: Vibrations travel through the support columns and are transferred throughout the structure"" as the building's movement is a source of these vibrations. As for ""[4]: The energy from the vibrations dissipates through the structure, reducing the amount of force and shaking felt within the building"", this can't logically occur before the vibration transfer because without the spread of vibrations throughout, there will be no energy to be dissipated. Hence, swapping ""[2]: The building structure moves"" with ""[4]: The energy from the vibrations dissipates..."" gives an illogical sequence of events.","[1] When an earthquake occurs, the foundation of the building shifts. [2] The energy from the vibrations then dissipates through the structure, reducing the amount of force and shaking felt within the building. [3] Following this, the building structure moves. [4] Finally, vibrations travel through the support columns and are transferred throughout the structure."
8,187,52How does a volcanic eruption happen?,52,How do earthquakes occur?,Natural Sciences,Natural Sciences,How does a volcanic eruption happen?,Geology,"(tectonic plates, move against, each other) like (magma, moves against, crust)
 (pressure, builds up, below the surface) like (pressure, builds up, beneath the volcano)
 (fault lines, rupture, causing an earthquake) like (volcano, erupts, releasing lava and ash)","Earthquakes are caused by the movement of tectonic plates against each other.
 As the plates move, pressure builds up below the surface of the Earth.
 When this pressure becomes too great, the fault lines rupture and an earthquake is created.","A volcanic eruption is caused by magma moving against the Earth's crust.
 As the pressure builds up beneath the volcano, it eventually reaches a tipping point, causing the volcano to erupt and releasing lava and ash into the atmosphere.
 The magma breaks through the crust, creating an opening that allows the molten rock to escape and create an eruption.",3.0,close analogy,,,,"[1]: A volcanic eruption is caused by magma moving against the Earth's crust.
[2]: As the pressure builds up beneath the volcano, it eventually reaches a tipping point.
[3]: This causes the volcano to erupt and release lava and ash into the atmosphere.
[4]: The magma breaks through the crust, creating an opening that allows the molten rock to escape and create an eruption.","[1]: A volcanic eruption is caused by magma moving against the Earth's crust.
[2]: This causes the volcano to erupt and release lava and ash into the atmosphere.
[3]: As the pressure builds up beneath the volcano, it eventually reaches a tipping point.
[4]: The magma breaks through the crust, creating an opening that allows the molten rock to escape and create an eruption.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: As the pressure builds up beneath the volcano, it eventually reaches a tipping point."" must happen before ""[3]: This causes the volcano to erupt and release lava and ash into the atmosphere."" because the pressure needs to reach a tipping point in order to cause the eruption. If the volcano erupts before the pressure builds up beneath it, it would be illogical, as there wouldn't be enough force to cause the eruption in the first place.","[1] A volcanic eruption is caused by magma moving against the Earth's crust. [2] This causes the volcano to erupt and release lava and ash into the atmosphere. [3] After the eruption, the pressure builds up beneath the volcano, eventually reaching a tipping point. [4] Finally, the magma breaks through the crust, creating an opening that allows the molten rock to escape and create another eruption."
9,198,56How does rain form?,56,How does snow form?,Natural Sciences,Natural Sciences,How does rain form?,Meteorology,"(water vapor, condenses, clouds) like (water vapor, condenses, clouds)
 (temperature, decreases, saturation point) like (temperature, decreases, saturation point)
 (ice crystals, attach to, dust particles) like (water droplets, attach to, dust particles)","Snow forms when water vapor in the atmosphere condenses into clouds.
 As the temperature of the air decreases, it reaches the saturation point and the water vapor begins to condense and form droplets.
 These droplets attach to dust particles in the atmosphere and form ice crystals.
 The crystals grow as more water vapor condenses, eventually forming tiny snowflakes.","Rain is formed when water vapor in the atmosphere condenses into clouds. As the temperature of the air decreases, it reaches its saturation point and the water vapor condenses into water droplets. These droplets attach to dust particles in the clouds, which causes the droplets to grow and eventually fall as rain.",3.0,close analogy,,,,"[1]: Water vapor in the atmosphere condenses into clouds.
[2]: As the air temperature decreases, it reaches its saturation point and water vapor condenses into droplets.
[3]: These droplets attach to dust particles in the clouds.
[4]: The droplets grow and eventually fall as rain.","[1]: The droplets grow and eventually fall as rain.
[2]: Water vapor in the atmosphere condenses into clouds.
[3]: As the air temperature decreases, it reaches its saturation point and water vapor condenses into droplets.
[4]: These droplets attach to dust particles in the clouds.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: Water vapor in the atmosphere condenses into clouds."" must happen before ""[4]: The droplets grow and eventually fall as rain."" because clouds must be formed before any rain can happen. If rain falls before the clouds form and before the water vapor condenses into droplets, it's illogical. This is because rain originates from the process of condensation within the clouds, and cannot happen before the cloud formation.","[1] The droplets grow and eventually fall as rain. [2] Following the rainfall, water vapor in the atmosphere condenses into clouds. [3] As the air temperature decreases, it reaches its saturation point and water vapor condenses into droplets. [4] These droplets then attach to dust particles in the clouds."
