sample_id,type,flan_t5_xxl_zero_shot_prediction,flan_t5_small_ft_prediction,ground_truth
1143Describe how climate change can negatively affect animals,analogy,0,1,1
681Describe the process of dormancy,distractor,1,1,0
212How does the formation of clouds occur?,analogy,0,1,1
229How does a levee prevent rising water levels?,analogy,1,1,1
1059How does a water purification system work?,analogy,0,1,1
41What causes a bridge to collapse?,distractor,0,0,0
52How does a structure respond to an earthquake?,analogy,0,1,1
925How does a water filtration system work?,random,0,0,0
1203How do hormones regulate physiological processes?,random,0,0,0
397How does a solar-powered generator create energy?,distractor,0,1,0
425How does water get from the ground to a household?,analogy,0,1,1
873How does water get from the aquifer to a home?,distractor,0,1,0
652Describe the life cycle of a frog,analogy,0,1,1
20How is air pollution spread across the atmosphere?,analogy,0,1,1
1055How does a tree get water from the ground?,analogy,0,1,1
186How does bacteria grow on metal surfaces?,analogy,0,1,1
58How does an avalanche occur?,distractor,0,0,0
830How do bacteria cause infection?,random,0,0,0
1295How does a dialysis machine remove waste from the blood?,analogy,0,1,1
1333How does solar radiation heat a surface?,random,0,0,0
742How do sonar devices detect objects?,random,0,0,0
298Describe how viruses can cause infection.,analogy,0,1,1
1310Describe how bears prepare for winter.,analogy,1,1,1
41How does a social movement become successful?,analogy,0,0,1
652Describe the life cycle of a human,analogy,0,1,1
618How does a ventilation system of a hospital work?,distractor,0,1,0
640Describe the life cycle of a human being,analogy,0,1,1
424How does information flow through a network of computers?,random,0,0,0
771How does the cardiovascular system function?,distractor,0,1,0
157Describe the process of recycling a plastic bottle,distractor,1,1,0
280How does a solar cell produce energy?,analogy,0,1,1
701Describe the process of global warming,analogy,1,1,1
1217How do coral reefs form?,random,0,0,0
686Describe the process of wastewater treatment,analogy,0,0,1
939How does a solar panel work?,analogy,0,1,1
31How does the formation of an underground cave occur?,random,0,0,0
846How does the education system remove ignorance from society?,analogy,0,0,1
186How does bacteria grow on metal surfaces?,random,0,0,0
683Describe the process of decision-making,analogy,0,0,1
1183How does a filter remove contaminants from water?,analogy,1,1,1
298How do viruses replicate and spread?,distractor,0,1,0
702Describe the process of climate change,random,0,0,0
1055How does a machine filter water?,analogy,0,1,1
536How does a sewage system remove waste from a city?,random,0,0,0
1053How does a building maintain a comfortable temperature?,random,0,0,0
159Describe the process of composting food waste,analogy,0,1,1
15How does the nitrogen cycle work?,analogy,0,1,1
425How does natural gas get from the reservoir to an electricity plant?,distractor,0,1,0
702Describe the process of climate change,analogy,1,1,1
1219How does the soil and climate foster plant growth?,analogy,1,1,1
1053How does a building maintain a comfortable temperature?,analogy,0,1,1
923How does a mechanical system of air filter works?,distractor,0,0,0
701Describe the process of global warming,random,0,0,0
31How do underground aquifers form?,random,0,0,0
252How do the layers of sedimentary rocks form?,distractor,0,1,0
64How are valleys formed?,analogy,1,1,1
58How does a bridge withstand the wind?,distractor,0,0,0
35How does a steel structure form?,analogy,1,1,1
1055How does a machine filter water?,random,0,0,0
1143Describe how climate change can negatively affect animals,distractor,0,0,0
112How does the human digestive system work?,analogy,0,0,1
20How is air pollution spread across the atmosphere?,distractor,0,1,0
1184How does a generator produce electricity?,distractor,0,1,0
1298How does a dialysis machine clean a patient's blood?,analogy,0,1,1
301How do you ride a bicycle?,distractor,0,1,0
468How does a distillation system works?,distractor,0,1,0
744How do wind currents spread pollen?,analogy,0,1,1
521Describe the lifecycle of a human,analogy,0,1,1
494Describe the process of cooling a computer system,analogy,0,1,1
737How do people help spread cultural practices?,distractor,0,0,0
1055How does a bacteria get nutrients from a petri dish?,random,0,0,0
1051How does corrosion occur in metal parts?,random,0,0,0
923How does a ventilation system work?,random,0,0,0
1266How do ants build a nest?,distractor,0,1,0
1167How is language created?,analogy,0,0,1
1184How does a generator produce electricity?,random,0,0,0
771How does a gas exchange system function?,analogy,1,1,1
