,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,distractor_target_paragraph,analogous_target_paragraph,shuffled_candidates,ground_truth,random_paragraph,random_events_order,explanation,random_new_events_order,new_paragraph
0,742How do dolphins use sonar to detect prey?,"Bats use echolocation to detect objects in their surroundings. They emit sound waves which bounce off of nearby objects and return to the bat. These bouncing sound waves allow the bat to detect the shape and location of its surroundings. The bat then uses this information to navigate, hunt, and avoid obstacles.","Plants start growing on or near the rocks.
The roots of the growing plants start to break up the rock.
The plant acids dissolve the rock.
The rock is broken down into smaller pieces.
Erosion begins.","You breathe air in.
Air enters bronchial tubes.
Air is then split into the bronchioles of each lung.
Bronchioles have alveoli which are tiny air sacs.
Alveoli is surrounded by many small blood vessels.
Oxygen passes through alveoli into blood vessels.
Blood leaves the lungs as it travels through the body.
Blood carries carbon dioxide back to the lungs.
Carbon dioxide released when you exhale."," Dolphins emit sound waves. Immediately, the sonar system in the dolphin interprets the echo. Following this, the sound waves bounce off objects creating an echo. Finally, the echo is used to determine the shape and location of the object.","Dolphins use sonar to detect prey by emitting sound waves. These sound waves travel through the water and bounce off objects, creating an echoing sound that is used to detect the shape and location of the object. The sonar system then interprets the echo and gives dolphins an idea of what the object is and where it is located.","["" Dolphins emit sound waves. Immediately, the sonar system in the dolphin interprets the echo. Following this, the sound waves bounce off objects creating an echo. Finally, the echo is used to determine the shape and location of the object."", ""Dolphins use sonar to detect prey by emitting sound waves. These sound waves travel through the water and bounce off objects, creating an echoing sound that is used to detect the shape and location of the object. The sonar system then interprets the echo and gives dolphins an idea of what the object is and where it is located."", ""You breathe air in.\nAir enters bronchial tubes.\nAir is then split into the bronchioles of each lung.\nBronchioles have alveoli which are tiny air sacs.\nAlveoli is surrounded by many small blood vessels.\nOxygen passes through alveoli into blood vessels.\nBlood leaves the lungs as it travels through the body.\nBlood carries carbon dioxide back to the lungs.\nCarbon dioxide released when you exhale."", ""Plants start growing on or near the rocks.\nThe roots of the growing plants start to break up the rock.\nThe plant acids dissolve the rock.\nThe rock is broken down into smaller pieces.\nErosion begins.""]",C2,,,,,
1,924How does an oxygen mask work?,"Lungs are important organs that perform several vital functions. They absorb oxygen from the air and filter out particles, such as dust and pollen. They also exhale carbon dioxide, which is a waste product of the body. The oxygen is then transported to the cells where it is used for energy production. Thus, lungs are essential for life and are responsible for the exchange of gases in the body.","Chemical reactions in the battery causes a build up of electrons at the anode.
This results in an electrical difference between the anode and the cathode.
The electrons wants to rearrange themselves to get rid of this difference.
The electrons go to the cathode.
Electricty is created.","Bees first secure the perfect spot, such as hollow areas of trees.
Bees will begin to chew max until it becomes softened.
The chewed up wax will be stored inside of a honeycomb.
Worker bees continue chewing and softening wax from within.
The chewed up wax is steadily added, making the hive bigger and bigger.
The bees will house nectar, honey and pollen within the honeycomb's cells."," The mask provides the right amount of oxygen for the user to breathe comfortably. After providing oxygen, the mask absorbs oxygen from the air and filters out unwanted particles. Finally, the mask exhales carbon dioxide.","An oxygen mask works by absorbing oxygen from the air and filtering out any unwanted particles. The mask then exhales carbon dioxide, allowing the user to breathe fresh oxygen. The mask is designed to provide just the right amount of oxygen so that the user can breathe comfortably.","[""Chemical reactions in the battery causes a build up of electrons at the anode.\nThis results in an electrical difference between the anode and the cathode.\nThe electrons wants to rearrange themselves to get rid of this difference.\nThe electrons go to the cathode.\nElectricty is created."", ""Bees first secure the perfect spot, such as hollow areas of trees.\nBees will begin to chew max until it becomes softened.\nThe chewed up wax will be stored inside of a honeycomb.\nWorker bees continue chewing and softening wax from within.\nThe chewed up wax is steadily added, making the hive bigger and bigger.\nThe bees will house nectar, honey and pollen within the honeycomb's cells."", "" The mask provides the right amount of oxygen for the user to breathe comfortably. After providing oxygen, the mask absorbs oxygen from the air and filters out unwanted particles. Finally, the mask exhales carbon dioxide."", ""An oxygen mask works by absorbing oxygen from the air and filtering out any unwanted particles. The mask then exhales carbon dioxide, allowing the user to breathe fresh oxygen. The mask is designed to provide just the right amount of oxygen so that the user can breathe comfortably.""]",C4,,,,,
2,316What happens during corrosion?,"Weathering is the process of breaking down of rocks due to external forces. Temperature accelerates this process, as warmer temperatures cause the rock to expand and contract, causing it to crack. Additionally, rain erodes the rock surface and sunlight weakens the rock composition. All of these factors contribute to the process of weathering.","Solar radiation reaches Earth's atmosphere.
Some is reflected back into space.
The rest of the energy is absorbed by land and oceans, heating the Earth.
Heat radiates from Earth to space.
Some of this heat is trapped by greenhouse gases in the atmosphere.
Human activities such as burning fuel are increasing the amount of greenhouses gases.
This causes more heat radiation to stay trapped in our atmosphere.
The Earth's temperature rises.","Electricity from the battery makes the machine needle move.
A needle with thread goes down from the machine.
Goes through a piece of cloth.
A hook rotates underneath.
The hook captures the thread.
The hook loops the thread around another thread.
Two threads interlock around the fabric."," When a metal is exposed to an electrolyte, it creates an acid that erodes the metal surface. After the acid is created, the electrolyte accelerates corrosion by introducing electrons to the metal surface. Finally, oxygen weakens the metal composition, further contributing to the corrosion process.","Corrosion is a process that occurs when a metal is exposed to an electrolyte. The electrolyte accelerates corrosion by introducing electrons to the metal surface. This creates an acid that erodes the metal surface. In addition, oxygen weakens the metal composition, further contributing to the corrosion process.","["" When a metal is exposed to an electrolyte, it creates an acid that erodes the metal surface. After the acid is created, the electrolyte accelerates corrosion by introducing electrons to the metal surface. Finally, oxygen weakens the metal composition, further contributing to the corrosion process."", ""Electricity from the battery makes the machine needle move.\nA needle with thread goes down from the machine.\nGoes through a piece of cloth.\nA hook rotates underneath.\nThe hook captures the thread.\nThe hook loops the thread around another thread.\nTwo threads interlock around the fabric."", ""Solar radiation reaches Earth's atmosphere.\nSome is reflected back into space.\nThe rest of the energy is absorbed by land and oceans, heating the Earth.\nHeat radiates from Earth to space.\nSome of this heat is trapped by greenhouse gases in the atmosphere.\nHuman activities such as burning fuel are increasing the amount of greenhouses gases.\nThis causes more heat radiation to stay trapped in our atmosphere.\nThe Earth's temperature rises."", ""Corrosion is a process that occurs when a metal is exposed to an electrolyte. The electrolyte accelerates corrosion by introducing electrons to the metal surface. This creates an acid that erodes the metal surface. In addition, oxygen weakens the metal composition, further contributing to the corrosion process.""]",C4,,,,,
3,369How do the human body organs obtain and use oxygen?,"Plants obtain water through their roots. The roots absorb water from the soil, which is then transported to the leaves. Stomata on the leaves then release water vapor through a process called transpiration, which helps transport the water through the plant. This process of water uptake and release helps provide the plant with the water it needs to survive.","Your thermostat senses that the room temperature has fallen below your thermostat setting.
Your thermostat sends a signal to your heating system to provide heat for your home.
When your oil burner is engaged, heating oil travels from the tank to the burner by way of a pump.
Here the oil becomes a fine mist mixed with air.
The fuel/air mixture is then injected into the burner where it is ignited in the combustion chamber.
The warm air is disbursed through vents, hot water through baseboards, or by steam radiators.","A conducting metal, like copper, is wrapped around a piece of metal.
An electrical source, like a battery, produces an electrical current.
The electrical current flows through the wire.
The electrical current creates a magnetic field around the wire, magnetizing the metal.
The magnetic field can be turned on and off by starting or stopping the electricity source."," The blood vessels release carbon dioxide from the body. Following this, the lungs absorb oxygen from the atmosphere. Then, the lungs release carbon dioxide into the air. Afterward, oxygen is transported through the bloodstream via circulation. Subsequently, blood vessels carry oxygen to the organs and tissues of the body. Finally, the organs and tissues use the oxygen for metabolic processes.","The lungs absorb oxygen from the atmosphere, and then release carbon dioxide into the air. Oxygen is then transported through the bloodstream via circulation. Blood vessels carry oxygen to the organs and tissues of the body, where it is used for metabolic processes. At the same time, the blood vessels release carbon dioxide from the body.","[""The lungs absorb oxygen from the atmosphere, and then release carbon dioxide into the air. Oxygen is then transported through the bloodstream via circulation. Blood vessels carry oxygen to the organs and tissues of the body, where it is used for metabolic processes. At the same time, the blood vessels release carbon dioxide from the body."", ""A conducting metal, like copper, is wrapped around a piece of metal.\nAn electrical source, like a battery, produces an electrical current.\nThe electrical current flows through the wire.\nThe electrical current creates a magnetic field around the wire, magnetizing the metal.\nThe magnetic field can be turned on and off by starting or stopping the electricity source."", "" The blood vessels release carbon dioxide from the body. Following this, the lungs absorb oxygen from the atmosphere. Then, the lungs release carbon dioxide into the air. Afterward, oxygen is transported through the bloodstream via circulation. Subsequently, blood vessels carry oxygen to the organs and tissues of the body. Finally, the organs and tissues use the oxygen for metabolic processes."", ""Your thermostat senses that the room temperature has fallen below your thermostat setting.\nYour thermostat sends a signal to your heating system to provide heat for your home.\nWhen your oil burner is engaged, heating oil travels from the tank to the burner by way of a pump.\nHere the oil becomes a fine mist mixed with air.\nThe fuel/air mixture is then injected into the burner where it is ignited in the combustion chamber.\nThe warm air is disbursed through vents, hot water through baseboards, or by steam radiators.""]",C1,,,,,
4,720How are fog droplets formed?,"Clouds form when water vapor in the air condenses to form tiny droplets of liquid water. This happens when air rises into the atmosphere and the temperature decreases, causing the moisture to condense. The tiny droplets of water form clouds as they accumulate in the atmosphere.","A seed or seeds planted into the ground.
The seed becomes a seedling and grows with water.
The sun.
The seedling grows into a mature plant.
Becomes a flower.","Pack up your camping gear, food, and clothes.
Drive to your campsite.
Set up your tent.
Start a fire in the fire pit.
Cook your food in the fire.
Put the fire out when you are finished.
Go to sleep.
Wake up.
Put away your tent.
Drive home."," Water vapor in the air condenses into tiny droplets. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets. After the formation of fog droplets, air rises in the atmosphere, causing the temperature to decrease.","Fog droplets form when water vapor in the air condenses into tiny droplets. This condensation occurs when air rises in the atmosphere, which causes the temperature to decrease. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets.","[""Fog droplets form when water vapor in the air condenses into tiny droplets. This condensation occurs when air rises in the atmosphere, which causes the temperature to decrease. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets."", ""A seed or seeds planted into the ground.\nThe seed becomes a seedling and grows with water.\nThe sun.\nThe seedling grows into a mature plant.\nBecomes a flower."", "" Water vapor in the air condenses into tiny droplets. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets. After the formation of fog droplets, air rises in the atmosphere, causing the temperature to decrease."", ""Pack up your camping gear, food, and clothes.\nDrive to your campsite.\nSet up your tent.\nStart a fire in the fire pit.\nCook your food in the fire.\nPut the fire out when you are finished.\nGo to sleep.\nWake up.\nPut away your tent.\nDrive home.""]",C1,,,,,
5,423How does a medication get from a laboratory to a hospital?,"Coal is extracted from a mine, usually through a mining operation. Once extracted, the coal is transported to the power station via a truck or train. At the power station, the coal is consumed as fuel to generate electricity.","Waste products are deposited in the blood.
Blood is carried to the kidneys through the renal arteries.
The kidneys contain filters inside.
The filters capture the waste products.
The waste is combined with water to make urine.
The urine leaves the kidney and is collected in the bladder.
The cleaned blood is returned to the body.","Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals."," The medication is first consumed and used to treat patients at the hospital. After being consumed, the medication is then extracted from the laboratory. Once extracted, the medication is placed into a van. Finally, the van transports the already consumed medication to the hospital.","The medication is extracted from the laboratory and placed into a van. The van then transports the medication to the hospital. Once the medication is at the hospital, it is consumed and used to treat patients.","[""Magma comes up to the surface of the earth.\nThe magma cools.\nParticles inside the magma move closer together.\nCrystals are formed.\nThe crystals contain minerals."", "" The medication is first consumed and used to treat patients at the hospital. After being consumed, the medication is then extracted from the laboratory. Once extracted, the medication is placed into a van. Finally, the van transports the already consumed medication to the hospital."", ""The medication is extracted from the laboratory and placed into a van. The van then transports the medication to the hospital. Once the medication is at the hospital, it is consumed and used to treat patients."", ""Waste products are deposited in the blood.\nBlood is carried to the kidneys through the renal arteries.\nThe kidneys contain filters inside.\nThe filters capture the waste products.\nThe waste is combined with water to make urine.\nThe urine leaves the kidney and is collected in the bladder.\nThe cleaned blood is returned to the body.""]",C3,,,,,
6,1202How are enzymes produced in a plant?,Proteins are formed by the combination of amino acids. The process occurs in the cytoplasm of the cell. DNA codes for proteins and provides the information for their synthesis. Ribosomes translate the mRNA and use it to guide the formation of proteins. The amino acids are then combined to form proteins in accordance with the instructions from the mRNA.,"The body's temperature increases over 98.6 degrees F.
The hypothalamus in the brain sends a message to the body.
Sweat glands in the skin receive the message.
The sweat glands start combining water and chemicals to make sweat.
The sweat leaves the skin through pores.","Sunlight passes through the glass into the greenhouse.
The plants and floor absorb the the sunlight.
The absorbed sunlight is converted to heat.
The heat cannot escape the glass.
The heat is trapped in the greenhouse.
The hot air rises.
The colder air at the top is pushed to the bottom.
The colder air is then warmed by the floor and the plants."," Substrates combine to form enzymes in a plant. Following this, the DNA gets transcribed into mRNA. After the transcription, the process is directed by the plant's DNA, which codes for the enzyme production. Finally, the mRNA is responsible for the production of the enzymes.","Enzymes are produced in a plant when substrates combine to form them. This process is directed by the plant's DNA, which codes for the production of the enzymes. The DNA then is transcribed into mRNA, which is translated in the chloroplasts of the plant. The mRNA is responsible for the production of the enzymes.","["" Substrates combine to form enzymes in a plant. Following this, the DNA gets transcribed into mRNA. After the transcription, the process is directed by the plant's DNA, which codes for the enzyme production. Finally, the mRNA is responsible for the production of the enzymes."", ""The body's temperature increases over 98.6 degrees F.\nThe hypothalamus in the brain sends a message to the body.\nSweat glands in the skin receive the message.\nThe sweat glands start combining water and chemicals to make sweat.\nThe sweat leaves the skin through pores."", ""Enzymes are produced in a plant when substrates combine to form them. This process is directed by the plant's DNA, which codes for the production of the enzymes. The DNA then is transcribed into mRNA, which is translated in the chloroplasts of the plant. The mRNA is responsible for the production of the enzymes."", ""Sunlight passes through the glass into the greenhouse.\nThe plants and floor absorb the the sunlight.\nThe absorbed sunlight is converted to heat.\nThe heat cannot escape the glass.\nThe heat is trapped in the greenhouse.\nThe hot air rises.\nThe colder air at the top is pushed to the bottom.\nThe colder air is then warmed by the floor and the plants.""]",C3,,,,,
7,520Describe the metamorphosis of a butterfly,"The life cycle of a fish begins with the laying of eggs. The eggs hatch and larvae emerge. As they develop, the larvae develop fins and scales. The larvae grow and eventually molt their scales. After molting, the fishes are mature and ready to reproduce.","The magnetron converts electricity into radio waves.
The radio waves go through a wave guide.
The radio waves go into the food compartment.
Microwaves bounces off the metal walls of the food compartment.
Microwaves pass through the food.
Microwaves make the molecules in the food move more quickly.
The food heats up.","A utensil or computer is chosen for wording.
A paper is chosen to write or type on.
You write what you need to on the paper.
Put the paper in an evelop.
Find a stamp.
Find a post office or your own mail box.
The letter is mailed."," Butterflies lay eggs. After laying eggs, they molt into a cocoon and develop wings. While still in the cocoon, the caterpillars feed and grow until they are ready to transform. After the transformation, the eggs hatch into caterpillars. Finally, the butterflies emerge from their cocoons with fully developed wings, ready to take flight.","Butterflies lay eggs, which hatch into caterpillars. The caterpillars feed and grow until they are ready to transform. To complete their metamorphosis, they molt into a cocoon and develop wings. After a short time, the butterflies emerge from their cocoons with fully developed wings, ready to take flight.","["" Butterflies lay eggs. After laying eggs, they molt into a cocoon and develop wings. While still in the cocoon, the caterpillars feed and grow until they are ready to transform. After the transformation, the eggs hatch into caterpillars. Finally, the butterflies emerge from their cocoons with fully developed wings, ready to take flight."", ""The magnetron converts electricity into radio waves.\nThe radio waves go through a wave guide.\nThe radio waves go into the food compartment.\nMicrowaves bounces off the metal walls of the food compartment.\nMicrowaves pass through the food.\nMicrowaves make the molecules in the food move more quickly.\nThe food heats up."", ""A utensil or computer is chosen for wording.\nA paper is chosen to write or type on.\nYou write what you need to on the paper.\nPut the paper in an evelop.\nFind a stamp.\nFind a post office or your own mail box.\nThe letter is mailed."", ""Butterflies lay eggs, which hatch into caterpillars. The caterpillars feed and grow until they are ready to transform. To complete their metamorphosis, they molt into a cocoon and develop wings. After a short time, the butterflies emerge from their cocoons with fully developed wings, ready to take flight.""]",C4,,,,,
8,877How does a snowstorm develop?,"Rain forms when the atmosphere evaporates water from the ground and the temperature decreases the air pressure. This causes warm air to rise, forming clouds. As the air rises, it cools and condensation forms water droplets, which eventually become large enough to fall as rain.","The frog's egg hatches and a tadpole is born.
The tadpole swims with its siblings and tries to survive.
The tadpole grows larger.
The tadpole loses its tail.
The tadpole develops limbs.
And the tadpole now becomes a frog.","Body temperature rises.
The brain tells blood vessels to dilate.
The sweat glands become active.
Moisture is released from the pores.
The moisture evaporates.
The evaporation causes cooling."," A snowstorm begins when the atmosphere sublimates snow. Eventually, these snowflakes accumulate and a snowstorm develops. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes.","A snowstorm begins when the atmosphere sublimates snow. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes. Eventually, these snowflakes accumulate and a snowstorm develops.","[""The frog's egg hatches and a tadpole is born.\nThe tadpole swims with its siblings and tries to survive.\nThe tadpole grows larger.\nThe tadpole loses its tail.\nThe tadpole develops limbs.\nAnd the tadpole now becomes a frog."", "" A snowstorm begins when the atmosphere sublimates snow. Eventually, these snowflakes accumulate and a snowstorm develops. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes."", ""A snowstorm begins when the atmosphere sublimates snow. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes. Eventually, these snowflakes accumulate and a snowstorm develops."", ""Body temperature rises.\nThe brain tells blood vessels to dilate.\nThe sweat glands become active.\nMoisture is released from the pores.\nThe moisture evaporates.\nThe evaporation causes cooling.""]",C3,,,,,
9,365Describe how air pollution can affect the environment.,"Acid rain is a form of precipitation that has a pH level lower than 5.6. It is caused by pollutants in the atmosphere, such as sulfur dioxide and nitrogen oxide, which react with water droplets in the atmosphere. Acid rain can pollute the atmosphere, corrode buildings, and affect the water supply. It can also damage ecosystems by changing the levels of soil and water acidity, which affects the balance of plants and animals in an area.","The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.","To bake a cake you first need to gather your ingredients.
Preheat the oven to desired baking temperature.
Grease your preferred cake pan with crisco or butter or other non-stick spray.
Add eggs and vegetable oil to the dry ingredients.
Stir or whisk until all the dry flour has been absorbed.
Pour the batter into the greased cake pan.
Place cake pan into the oven for the required time.
When a toothpick inserted into the cake comes out clean, the cake is done baking."," Air pollution has a negative effect on the environment. The atmosphere is polluted and buildings corroded. Water supply is affected. More environmental impacts are observed. The concentration of pollutants in the atmosphere increased. Pollutants are carried in the air. These pollutants are deposited on the land, in the soil, and in the water. Acid rain occurs and causes damage to crops, buildings, and other structures. Finally, air pollution directly affects human health causing respiratory problems and increased risk of disease.","Air pollution has a negative effect on the environment. It pollutes the atmosphere, corrodes buildings, and affects the water supply. Pollutants can be carried in the air, leading to an increase in the concentration of pollutants in the atmosphere. These pollutants can then be deposited on the land, in the soil, and in the water, leading to further environmental impacts. Air pollution can also lead to acid rain, which can cause damage to crops, buildings, and other structures. Finally, air pollution can have a direct effect on human health, causing respiratory problems and increased risk of disease.","["" Air pollution has a negative effect on the environment. The atmosphere is polluted and buildings corroded. Water supply is affected. More environmental impacts are observed. The concentration of pollutants in the atmosphere increased. Pollutants are carried in the air. These pollutants are deposited on the land, in the soil, and in the water. Acid rain occurs and causes damage to crops, buildings, and other structures. Finally, air pollution directly affects human health causing respiratory problems and increased risk of disease."", ""To bake a cake you first need to gather your ingredients.\nPreheat the oven to desired baking temperature.\nGrease your preferred cake pan with crisco or butter or other non-stick spray.\nAdd eggs and vegetable oil to the dry ingredients.\nStir or whisk until all the dry flour has been absorbed.\nPour the batter into the greased cake pan.\nPlace cake pan into the oven for the required time.\nWhen a toothpick inserted into the cake comes out clean, the cake is done baking."", ""Air pollution has a negative effect on the environment. It pollutes the atmosphere, corrodes buildings, and affects the water supply. Pollutants can be carried in the air, leading to an increase in the concentration of pollutants in the atmosphere. These pollutants can then be deposited on the land, in the soil, and in the water, leading to further environmental impacts. Air pollution can also lead to acid rain, which can cause damage to crops, buildings, and other structures. Finally, air pollution can have a direct effect on human health, causing respiratory problems and increased risk of disease."", ""The earth develops cracks deep beneath the surface.\nThe cracks get very long and big in some places.\nThe earth places pressure against the rocks on both sides of the cracks.\nThe pressure causes the rocks to press against each other very hard.\nThe cracks continue to develop.\nThe earth moves against itself on both sides of the cracks.\nThe pressure and movement around the cracks causes the rocks to crumble in some places.\nA lot of energy is released.\nThe energy causes seismic waves.\nThe seismic waves move the earth in an earthquake.""]",C3,,,,,
