,Unnamed: 0.1,Unnamed: 0,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,target_events_order,target_new_events_order,new_paragraph,explanation
0,0,4,742How do dolphins use sonar to detect prey?,742,How do bats use echolocation?,Natural Sciences,Natural Sciences,How do dolphins use sonar to detect prey?,Marine Biology,"(bats, emit, sound waves) like (dolphins, emit, sound waves). (echolocation, detect, objects) like (sonar, detect, objects). (bouncing sound waves, detect, shape and location) like (echoing sound waves, detect, shape and location)","Bats use echolocation to detect objects in their surroundings. They emit sound waves which bounce off of nearby objects and return to the bat. These bouncing sound waves allow the bat to detect the shape and location of its surroundings. The bat then uses this information to navigate, hunt, and avoid obstacles.","Dolphins use sonar to detect prey by emitting sound waves. These sound waves travel through the water and bounce off objects, creating an echoing sound that is used to detect the shape and location of the object. The sonar system then interprets the echo and gives dolphins an idea of what the object is and where it is located.","[1]: Dolphins emit sound waves.
[2]: Sound waves bounce off objects creating an echo.
[3]: Echo is used to determine shape and location of the object.
[4]: Sonar system in dolphin interprets the echo.","[1]: Dolphins emit sound waves.
[2]: Sonar system in dolphin interprets the echo.
[3]: Sound waves bounce off objects creating an echo.
[4]: Echo is used to determine shape and location of the object."," Dolphins emit sound waves. Immediately, the sonar system in the dolphin interprets the echo. Following this, the sound waves bounce off objects creating an echo. Finally, the echo is used to determine the shape and location of the object.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Sound waves bounce off objects creating an echo"" must happen before ""[4]: Sonar system in dolphin interprets the echo."" because the echo needs to be produced before it can be interpreted by the sonar system. The new order is illogical, as it infers that the dolphins are interpreting an echo that hasn't been produced yet, which is impossible."
1,1,15,924How does an oxygen mask work?,924,What do lungs do?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does an oxygen mask work?,Biomedical and Health Sciences,"(lungs, absorb, oxygen) like (mask, absorb, oxygen). (lungs, exhale, carbon dioxide) like (mask, exhale, carbon dioxide). (lungs, filter, air) like (mask, filter, air)","Lungs are important organs that perform several vital functions. They absorb oxygen from the air and filter out particles, such as dust and pollen. They also exhale carbon dioxide, which is a waste product of the body. The oxygen is then transported to the cells where it is used for energy production. Thus, lungs are essential for life and are responsible for the exchange of gases in the body.","An oxygen mask works by absorbing oxygen from the air and filtering out any unwanted particles. The mask then exhales carbon dioxide, allowing the user to breathe fresh oxygen. The mask is designed to provide just the right amount of oxygen so that the user can breathe comfortably.","[1]: An oxygen mask absorbs oxygen from the air and filters out unwanted particles.
[2]: The mask then exhales carbon dioxide.
[3]: The mask provides the right amount of oxygen for the user to breathe comfortably.","[1]: The mask provides the right amount of oxygen for the user to breathe comfortably.
[2]: An oxygen mask absorbs oxygen from the air and filters out unwanted particles.
[3]: The mask then exhales carbon dioxide."," The mask provides the right amount of oxygen for the user to breathe comfortably. After providing oxygen, the mask absorbs oxygen from the air and filters out unwanted particles. Finally, the mask exhales carbon dioxide.","Looking at INPUT_PARAGRAPH_ORDER, we can see that ""[1]: An oxygen mask absorbs oxygen from the air and filters out unwanted particles."" must happen before ""[3]: The mask provides the right amount of oxygen for the user to breathe comfortably."" This is because the mask has to absorb and filter oxygen before it can provide the right amount to the user. In NEW_PARAGRAPH_ORDER, the mask is providing oxygen before it has absorbed or filtered it, which is illogical."
2,2,18,316What happens during corrosion?,316,What happens during weathering?,Natural Sciences,Engineering,What happens during corrosion?,Chemical Engineering,"(temperature, accelerates, weathering) like (electrolyte, accelerates, corrosion). (rain, erodes, rock surface) like (acid, erodes, metal surface). (sunlight, weakens, rock composition) like (oxygen, weakens, metal composition)","Weathering is the process of breaking down of rocks due to external forces. Temperature accelerates this process, as warmer temperatures cause the rock to expand and contract, causing it to crack. Additionally, rain erodes the rock surface and sunlight weakens the rock composition. All of these factors contribute to the process of weathering.","Corrosion is a process that occurs when a metal is exposed to an electrolyte. The electrolyte accelerates corrosion by introducing electrons to the metal surface. This creates an acid that erodes the metal surface. In addition, oxygen weakens the metal composition, further contributing to the corrosion process.","[1]: A metal is exposed to an electrolyte.
[2]: The electrolyte accelerates corrosion by introducing electrons to the metal surface.
[3]: This creates an acid that erodes the metal surface.
[4]: Oxygen weakens the metal composition, further contributing to the corrosion process.","[1]: A metal is exposed to an electrolyte.
[2]: This creates an acid that erodes the metal surface.
[3]: The electrolyte accelerates corrosion by introducing electrons to the metal surface.
[4]: Oxygen weakens the metal composition, further contributing to the corrosion process."," When a metal is exposed to an electrolyte, it creates an acid that erodes the metal surface. After the acid is created, the electrolyte accelerates corrosion by introducing electrons to the metal surface. Finally, oxygen weakens the metal composition, further contributing to the corrosion process.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The electrolyte accelerates corrosion by introducing electrons to the metal surface."" must happen before ""[3]: This creates an acid that erodes the metal surface."" because the process of corrosion starts when the electrolyte starts reacting with the metal by introducing electrons to its surface, which then creates an acid that corrodes the metal. So, if the acid was created before the electrolyte had accelerated the corrosion, it would be illogical as the creation of the acid is a direct product of the electrolytic reaction."
3,3,19,369How do the human body organs obtain and use oxygen?,369,How do plants obtain and use water?,Natural Sciences,Biomedical and Health Sciences,How do the human body organs obtain and use oxygen?,Biomedical and Health Sciences,"(roots, absorb, water) like (lungs, absorb, oxygen). (stomata, release, water vapor) like (blood vessels, release, carbon dioxide). (transpiration, transport, water) like (circulation, transport, oxygen)","Plants obtain water through their roots. The roots absorb water from the soil, which is then transported to the leaves. Stomata on the leaves then release water vapor through a process called transpiration, which helps transport the water through the plant. This process of water uptake and release helps provide the plant with the water it needs to survive.","The lungs absorb oxygen from the atmosphere, and then release carbon dioxide into the air. Oxygen is then transported through the bloodstream via circulation. Blood vessels carry oxygen to the organs and tissues of the body, where it is used for metabolic processes. At the same time, the blood vessels release carbon dioxide from the body.","[1]: The lungs absorb oxygen from the atmosphere
[2]: The lungs release carbon dioxide into the air
[3]: Oxygen is transported through the bloodstream via circulation
[4]: Blood vessels carry oxygen to the organs and tissues of the body
[5]: The organs and tissues use the oxygen for metabolic processes
[6]: The blood vessels release carbon dioxide from the body","[1]: The blood vessels release carbon dioxide from the body
[2]: The lungs absorb oxygen from the atmosphere
[3]: The lungs release carbon dioxide into the air
[4]: Oxygen is transported through the bloodstream via circulation
[5]: Blood vessels carry oxygen to the organs and tissues of the body
[6]: The organs and tissues use the oxygen for metabolic processes"," The blood vessels release carbon dioxide from the body. Following this, the lungs absorb oxygen from the atmosphere. Then, the lungs release carbon dioxide into the air. Afterward, oxygen is transported through the bloodstream via circulation. Subsequently, blood vessels carry oxygen to the organs and tissues of the body. Finally, the organs and tissues use the oxygen for metabolic processes.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: The lungs absorb oxygen from the atmosphere,"" must occur before ""[6]: The blood vessels release carbon dioxide from the body,"" because the metabolic processes in the body's organs and tissues utilizing the oxygen leads to the production of carbon dioxide. Hence the release of carbon dioxide is dependent on the absorption of oxygen and metabolic processes, so swapping these events makes the NEW_PARAGRAPH_ORDER illogical."
4,4,28,720How are fog droplets formed?,720,How are clouds formed?,Natural Sciences,Engineering,How are fog droplets formed?,Atmospheric Engineering,"(moisture, condenses, water vapor) like (water vapor, condenses, fog droplets). (air, rises, atmosphere) like (air, rises, atmosphere). (temperature, decreases, condensation) like (temperature, decreases, condensation)","Clouds form when water vapor in the air condenses to form tiny droplets of liquid water. This happens when air rises into the atmosphere and the temperature decreases, causing the moisture to condense. The tiny droplets of water form clouds as they accumulate in the atmosphere.","Fog droplets form when water vapor in the air condenses into tiny droplets. This condensation occurs when air rises in the atmosphere, which causes the temperature to decrease. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets.","[1]: Water vapor in the air condenses into tiny droplets.
[2]: Air rises in the atmosphere, causing the temperature to decrease.
[3]: The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets.","[1]: Water vapor in the air condenses into tiny droplets.
[2]: The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets.
[3]: Air rises in the atmosphere, causing the temperature to decrease."," Water vapor in the air condenses into tiny droplets. The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets. After the formation of fog droplets, air rises in the atmosphere, causing the temperature to decrease.","By observing INPUT_PARAGRAPH_ORDER, I discern that ""[2]: Air rises in the atmosphere, causing the temperature to decrease."" must occur before ""[3]: The decrease in temperature causes the water vapor to condense, resulting in tiny fog droplets."", because the raising of the air in the atmosphere and the consequent decrease in temperature is what leads to the condensation of the water vapor into fog droplets. The new order is illogical because the water vapor cannot condense into fog droplets (event 2) before the air has risen and temperature decreased (event 3); the cause-effect relationship here is skewed."
5,5,38,423How does a medication get from a laboratory to a hospital?,423,How does coal get from the ground to a power station?,Engineering,Biomedical and Health Sciences,How does a medication get from a laboratory to a hospital?,Biomedical and Health Sciences,"(coal, extracted, mine) like (medication, extracted, lab). (truck, transports, coal) like (van, transports, medication). (power station, consumes, coal) like (hospital, consumes, medication)","Coal is extracted from a mine, usually through a mining operation. Once extracted, the coal is transported to the power station via a truck or train. At the power station, the coal is consumed as fuel to generate electricity.","The medication is extracted from the laboratory and placed into a van. The van then transports the medication to the hospital. Once the medication is at the hospital, it is consumed and used to treat patients.","[1]: The medication is extracted from the laboratory.
[2]: The medication is placed into a van.
[3]: The van transports the medication to the hospital.
[4]: The medication is consumed and used to treat patients at the hospital.","[1]: The medication is consumed and used to treat patients at the hospital.
[2]: The medication is extracted from the laboratory.
[3]: The medication is placed into a van.
[4]: The van transports the medication to the hospital."," The medication is first consumed and used to treat patients at the hospital. After being consumed, the medication is then extracted from the laboratory. Once extracted, the medication is placed into a van. Finally, the van transports the already consumed medication to the hospital.","In INPUT_PARAGRAPH_ORDER, it is clear that the sequence ""[1]: The medication is extracted from the laboratory."" -> ""[2]: The medication is placed into a van."" -> ""[3]: The van transports the medication to the hospital."" -> ""[4]: The medication is consumed and used to treat patients at the hospital."" shows the logical progression of events in the context of delivering and using medication. Consuming the medication first (as in NEW_PARAGRAPH_ORDER) before it's even extracted from the laboratory, placed in a van, and delivered to the hospital is illogical. The medication must be extracted, transported, and delivered before it can be consumed; it cannot be consumed before these processes have taken place."
6,6,50,1202How are enzymes produced in a plant?,1202,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Natural Sciences,How are enzymes produced in a plant?,Plant Biology,"(Amino acids, combine to form, proteins) like (Substrates, combine to form, enzymes). (Ribosomes, translate, mRNA) like (Chloroplasts, translate, mRNA). (DNA, codes for, proteins) like (DNA, codes for, enzymes)",Proteins are formed by the combination of amino acids. The process occurs in the cytoplasm of the cell. DNA codes for proteins and provides the information for their synthesis. Ribosomes translate the mRNA and use it to guide the formation of proteins. The amino acids are then combined to form proteins in accordance with the instructions from the mRNA.,"Enzymes are produced in a plant when substrates combine to form them. This process is directed by the plant's DNA, which codes for the production of the enzymes. The DNA then is transcribed into mRNA, which is translated in the chloroplasts of the plant. The mRNA is responsible for the production of the enzymes.","[1]: Substrates combine to form enzymes in a plant.
[2]: This process is directed by the plant's DNA, which codes for the enzyme production.
[3]: The DNA gets transcribed into mRNA.
[4]: The mRNA is responsible for the production of the enzymes.","[1]: Substrates combine to form enzymes in a plant.
[2]: The DNA gets transcribed into mRNA.
[3]: This process is directed by the plant's DNA, which codes for the enzyme production.
[4]: The mRNA is responsible for the production of the enzymes."," Substrates combine to form enzymes in a plant. Following this, the DNA gets transcribed into mRNA. After the transcription, the process is directed by the plant's DNA, which codes for the enzyme production. Finally, the mRNA is responsible for the production of the enzymes.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: This process is directed by the plant's DNA, which codes for the enzyme production."" must happen before ""[3]: The DNA gets transcribed into mRNA."" This is because the plant's DNA has to direct and code for the enzyme production before it can be transcribed into mRNA. Thus, directing and coding for enzyme production cannot happen after DNA transcription, making NEW_PARAGRAPH_ORDER illogical."
7,7,54,520Describe the metamorphosis of a butterfly,520,Describe the life cycle of a fish,Natural Sciences,Natural Sciences,Describe the metamorphosis of a butterfly,Entomology,"(fishes, lay, eggs) like (butterflies, lay, eggs). (fishes, hatch, larvae) like (butterflies, hatch, caterpillars). (fishes, develop, fins) like (butterflies, develop, wings). (fishes, molt, scales) like (butterflies, molt, cocoons)","The life cycle of a fish begins with the laying of eggs. The eggs hatch and larvae emerge. As they develop, the larvae develop fins and scales. The larvae grow and eventually molt their scales. After molting, the fishes are mature and ready to reproduce.","Butterflies lay eggs, which hatch into caterpillars. The caterpillars feed and grow until they are ready to transform. To complete their metamorphosis, they molt into a cocoon and develop wings. After a short time, the butterflies emerge from their cocoons with fully developed wings, ready to take flight.","[1]: Butterflies lay eggs.
[2]: The eggs hatch into caterpillars.
[3]: The caterpillars feed and grow until they are ready to transform.
[4]: They molt into a cocoon and develop wings.
[5]: The butterflies emerge from their cocoons with fully developed wings, ready to take flight.","[1]: Butterflies lay eggs.
[2]: They molt into a cocoon and develop wings.
[3]: The caterpillars feed and grow until they are ready to transform.
[4]: The eggs hatch into caterpillars.
[5]: The butterflies emerge from their cocoons with fully developed wings, ready to take flight."," Butterflies lay eggs. After laying eggs, they molt into a cocoon and develop wings. While still in the cocoon, the caterpillars feed and grow until they are ready to transform. After the transformation, the eggs hatch into caterpillars. Finally, the butterflies emerge from their cocoons with fully developed wings, ready to take flight.","In the INPUT_PARAGRAPH_ORDER, I noticed that ""[2]: The eggs hatch into caterpillars."" must occur before ""[3]: The caterpillars feed and grow until they are ready to transform."" since caterpillars must exist first before they can feed and grow. The same goes with ""[3]: The caterpillars feed and grow until they are ready to transform."" and ""[4]: They molt into a cocoon and develop wings."", caterpillars should reach a certain growth stage before they can undergo metamorphosis. Hence, swapping ""[2]: The eggs hatch into caterpillars."" with ""[4]: They molt into a cocoon and develop wings."" makes the new paragraph order illogical as in the new order, the caterpillars are supposedly undergoing metamorphosis (molt into a cocoon) before they even hatch from the eggs."
8,8,56,877How does a snowstorm develop?,877,How does rain form?,Natural Sciences,Natural Sciences,How does a snowstorm develop?,Meteorology,"(atmosphere, evaporates, water) like (atmosphere, sublimates, snow). (temperature, decreases, air pressure) like (temperature, decreases, air pressure). (warm, air rises, clouds) like (cold, air rises, clouds). (condensation, forms, water droplets) like (sublimation, forms, snowflakes)","Rain forms when the atmosphere evaporates water from the ground and the temperature decreases the air pressure. This causes warm air to rise, forming clouds. As the air rises, it cools and condensation forms water droplets, which eventually become large enough to fall as rain.","A snowstorm begins when the atmosphere sublimates snow. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes. Eventually, these snowflakes accumulate and a snowstorm develops.","[1]: The atmosphere sublimates snow when a snowstorm starts.
[2]: The temperature decreases, causing a drop in air pressure and forcing cold air to rise up into the clouds.
[3]: The cold air cools as it rises, triggering the snow sublimation process and forming snowflakes.
[4]: Snowflakes accumulate, leading to the development of a snowstorm.","[1]: The atmosphere sublimates snow when a snowstorm starts.
[2]: Snowflakes accumulate, leading to the development of a snowstorm.
[3]: The temperature decreases, causing a drop in air pressure and forcing cold air to rise up into the clouds.
[4]: The cold air cools as it rises, triggering the snow sublimation process and forming snowflakes."," A snowstorm begins when the atmosphere sublimates snow. Eventually, these snowflakes accumulate and a snowstorm develops. When the temperature decreases, air pressure drops and cold air is forced to rise up into the clouds. As the cold air rises, it cools, and the snow sublimation process begins, forming snowflakes.","By analyzing INPUT_PARAGRAPH_ORDER, I concluded that ""[2]: The temperature decreases, causing a drop in air pressure and forcing cold air to rise up into the clouds."" must happen before ""[4]: Snowflakes accumulate, leading to the development of a snowstorm."" for a snowstorm to logically occur. This is because the falling temperature and subsequent rise of cold air are prerequisites for the formation of snowflakes. Therefore, snowflakes cannot logically accumulate and develop into a snowstorm before the cold air has risen and started the snowflake formation process."
9,9,80,365Describe how air pollution can affect the environment.,365,Describe how acid rain can affect the environment.,Natural Sciences,Engineering,Describe how air pollution can affect the environment.,Environmental Engineering,"(acid rain, pollutes, atmosphere) like (air pollution, pollutes, atmosphere). (acid rain, corrodes, buildings) like (air pollution, corrodes, buildings). (acid rain, affects, water supply) like (air pollution, affects, water supply)","Acid rain is a form of precipitation that has a pH level lower than 5.6. It is caused by pollutants in the atmosphere, such as sulfur dioxide and nitrogen oxide, which react with water droplets in the atmosphere. Acid rain can pollute the atmosphere, corrode buildings, and affect the water supply. It can also damage ecosystems by changing the levels of soil and water acidity, which affects the balance of plants and animals in an area.","Air pollution has a negative effect on the environment. It pollutes the atmosphere, corrodes buildings, and affects the water supply. Pollutants can be carried in the air, leading to an increase in the concentration of pollutants in the atmosphere. These pollutants can then be deposited on the land, in the soil, and in the water, leading to further environmental impacts. Air pollution can also lead to acid rain, which can cause damage to crops, buildings, and other structures. Finally, air pollution can have a direct effect on human health, causing respiratory problems and increased risk of disease.","[1]: Air pollution has a negative effect on the environment.
[2]: The atmosphere is polluted and buildings corroded.
[3]: Water supply is affected.
[4]: Pollutants are carried in the air.
[5]: The concentration of pollutants in the atmosphere increased.
[6]: These pollutants are deposited on the land, in the soil, and in the water.
[7]: More environmental impacts are observed.
[8]: Acid rain occurs and causes damage to crops, buildings, and other structures.
[9]: Air pollution directly affects human health causing respiratory problems and increased risk of disease.","[1]: Air pollution has a negative effect on the environment.
[2]: The atmosphere is polluted and buildings corroded.
[3]: Water supply is affected.
[4]: More environmental impacts are observed.
[5]: The concentration of pollutants in the atmosphere increased.
[6]: Pollutants are carried in the air.
[7]: These pollutants are deposited on the land, in the soil, and in the water.
[8]: Acid rain occurs and causes damage to crops, buildings, and other structures.
[9]: Air pollution directly affects human health causing respiratory problems and increased risk of disease."," Air pollution has a negative effect on the environment. The atmosphere is polluted and buildings corroded. Water supply is affected. More environmental impacts are observed. The concentration of pollutants in the atmosphere increased. Pollutants are carried in the air. These pollutants are deposited on the land, in the soil, and in the water. Acid rain occurs and causes damage to crops, buildings, and other structures. Finally, air pollution directly affects human health causing respiratory problems and increased risk of disease.","From INPUT_PARAGRAPH_ORDER, we understand that ""[4]: Pollutants are carried in the air"" must happen before ""[5]: The concentration of pollutants in the atmosphere increased."" This is because the pollutants have to be in the air first before their concentration can increase. In the NEW_PARAGRAPH_ORDER, the sequence ""[4]: More environmental impacts are observed."" and then ""[5]: The concentration of pollutants in the atmosphere increased."" is illogical. The notion that environmental impacts would increase before the concentration of the pollutants in the atmosphere increases is not logical as the impacts are a direct consequence of the pollution, not the precursor."
